W,94,63,32,64,.500,11,26,.423,19,29,.655,12,43,21,5,7,13,25,22,59,.373,5,14,.357,14,29,.483,8,29,11,9,4,12,22
W,86,72,29,60,.483,5,13,.385,23,26,.885,6,23,17,6,6,5,16,27,55,.491,7,18,.389,11,13,.846,6,27,13,3,3,14,23
L,68,70,24,50,.480,9,20,.450,11,14,.786,5,29,14,3,4,16,22,23,60,.383,7,23,.304,17,22,.773,10,28,7,5,5,8,20
W,77,58,27,56,.482,10,23,.435,13,16,.813,9,36,13,5,3,11,24,19,51,.373,7,20,.350,13,27,.481,8,28,7,4,5,12,18
L,66,70,24,56,.429,12,22,.545,6,7,.857,10,33,15,3,7,15,17,22,53,.415,8,18,.444,18,24,.750,8,26,13,7,1,7,11
W,86,66,31,65,.477,8,22,.364,16,20,.800,9,35,25,7,12,7,11,26,66,.394,9,26,.346,5,5,1.000,9,29,18,5,4,16,21
W,65,58,27,66,.409,6,26,.231,5,9,.556,11,32,18,9,6,10,17,19,61,.311,5,21,.238,15,17,.882,16,45,10,5,2,18,16
W,80,64,26,60,.433,10,22,.455,18,24,.750,9,35,23,5,7,12,28,20,61,.328,2,20,.100,22,31,.710,12,35,11,8,5,12,22
W,83,49,27,61,.443,9,25,.360,20,24,.833,8,26,19,7,7,8,21,18,49,.367,3,12,.250,10,19,.526,8,29,8,5,4,21,20
W,68,64,26,61,.426,8,27,.296,8,11,.727,8,30,20,4,7,8,14,23,57,.404,13,26,.500,5,8,.625,11,36,9,6,5,14,15
W,67,64,21,51,.412,8,24,.333,17,26,.654,5,40,14,4,6,14,21,18,55,.327,9,25,.360,19,26,.731,4,28,11,11,4,9,24
W,87,65,31,64,.484,9,26,.346,16,18,.889,11,42,23,3,12,9,20,24,67,.358,6,22,.273,11,21,.524,11,30,11,4,2,7,18
W,72,63,24,67,.358,7,25,.280,17,27,.630,14,36,14,5,6,10,17,22,54,.407,2,14,.143,17,24,.708,8,37,14,5,6,14,28
W,87,77,28,63,.444,11,26,.423,20,26,.769,13,40,19,5,5,11,27,25,60,.417,4,15,.267,23,34,.676,8,31,10,6,5,11,19
L,52,61,19,53,.358,7,19,.368,7,12,.583,6,25,13,5,1,11,23,21,49,.429,4,17,.235,15,22,.682,10,40,14,5,4,12,18
L,66,70,24,63,.381,6,26,.231,12,13,.923,7,30,13,5,5,8,16,25,57,.439,6,19,.316,14,22,.636,10,37,16,5,5,8,10
W,74,66,25,49,.510,11,24,.458,13,14,.929,6,27,15,6,1,11,16,25,58,.431,6,16,.375,10,13,.769,11,29,12,6,3,9,13
W,69,60,24,63,.381,3,20,.150,18,20,.900,18,45,11,4,15,13,23,22,69,.319,1,12,.083,15,23,.652,21,41,10,5,8,8,17
W,89,54,37,62,.597,11,24,.458,4,9,.444,10,34,29,10,4,10,18,18,51,.353,4,17,.235,14,22,.636,7,20,12,6,0,14,13
W,74,72,24,64,.375,7,24,.292,19,24,.792,13,36,13,5,4,8,23,26,57,.456,8,22,.364,12,23,.522,11,37,12,3,3,13,22
W,73,61,26,63,.413,6,15,.400,15,19,.789,11,39,15,3,6,12,19,23,63,.365,3,15,.200,12,19,.632,10,36,12,6,4,12,19
W,68,55,23,56,.411,5,18,.278,17,21,.810,5,33,12,5,5,7,21,17,53,.321,8,21,.381,13,22,.591,8,30,10,5,4,13,16
L,59,80,21,60,.350,2,14,.143,15,22,.682,7,26,8,9,3,6,22,24,50,.480,12,23,.522,20,25,.800,8,40,17,4,3,12,20
L,61,68,19,56,.339,6,20,.300,17,20,.850,8,33,10,5,2,14,19,24,53,.453,8,19,.421,12,18,.667,4,29,18,9,4,12,17
W,66,59,26,58,.448,7,17,.412,7,9,.778,6,29,11,7,3,6,16,19,50,.380,7,19,.368,14,19,.737,8,29,10,4,4,12,12
L,64,74,23,59,.390,5,22,.227,13,23,.565,7,28,12,6,8,8,17,27,54,.500,8,18,.444,12,17,.706,5,33,15,6,4,13,19
W,69,65,23,50,.460,7,22,.318,16,21,.762,9,28,15,5,4,9,15,27,63,.429,5,17,.294,6,12,.500,16,36,10,6,2,8,18
L,50,66,18,56,.321,4,18,.222,10,14,.714,5,27,5,2,0,10,20,22,55,.400,6,18,.333,16,25,.640,11,42,10,6,4,7,19
L,62,63,23,59,.390,4,18,.222,12,18,.667,8,29,6,6,3,6,18,22,55,.400,8,24,.333,11,16,.688,12,40,12,4,1,16,15
W,67,65,27,51,.529,5,13,.385,8,13,.615,7,27,20,2,3,12,18,23,51,.451,8,22,.364,11,17,.647,5,24,13,5,5,7,15
L,65,69,27,60,.450,4,19,.211,7,10,.700,8,30,16,2,1,7,19,24,54,.444,4,19,.211,17,19,.895,6,30,16,5,2,8,13
