W,91,70,35,57,.614,8,16,.500,13,27,.481,9,41,21,5,0,10,19,24,61,.393,9,29,.310,13,16,.813,6,29,13,7,3,10,23
W,82,58,29,57,.509,7,22,.318,17,25,.680,13,42,15,6,7,13,21,22,61,.361,2,13,.154,12,24,.500,10,27,11,1,0,8,21
W,91,83,33,65,.508,8,17,.471,17,31,.548,8,36,11,10,2,12,24,28,61,.459,8,21,.381,19,32,.594,11,45,16,9,3,17,24
L,76,81,27,63,.429,5,14,.357,17,25,.680,12,37,8,5,1,11,26,26,58,.448,8,24,.333,21,29,.724,11,35,8,4,7,12,25
W,90,79,30,60,.500,3,13,.231,27,35,.771,12,38,10,7,2,14,19,28,66,.424,11,26,.423,12,18,.667,11,33,16,4,1,13,24
L,52,66,19,50,.380,2,17,.118,12,17,.706,15,33,5,7,3,23,17,24,57,.421,2,15,.133,16,17,.941,11,29,9,13,2,14,17
W,95,71,38,65,.585,9,22,.409,10,15,.667,12,35,20,10,2,12,15,22,51,.431,9,25,.360,18,20,.900,2,20,14,5,0,15,14
W,68,57,25,52,.481,6,13,.462,12,25,.480,10,38,7,13,5,14,20,18,56,.321,8,25,.320,13,20,.650,9,30,8,6,0,18,22
W,60,57,24,52,.462,3,11,.273,9,20,.450,4,28,8,6,1,11,19,23,53,.434,3,16,.188,8,18,.444,6,32,11,5,2,13,21
W,67,64,19,55,.345,3,12,.250,26,36,.722,11,38,6,6,2,16,18,22,57,.386,5,16,.313,15,25,.600,10,32,6,10,4,13,23
W,81,68,32,69,.464,7,18,.389,10,20,.500,17,41,14,5,4,8,18,22,55,.400,4,16,.250,20,22,.909,5,32,12,5,2,11,18
W,72,61,24,63,.381,5,14,.357,19,31,.613,15,44,11,7,3,13,20,18,50,.360,3,10,.300,22,28,.786,4,34,7,7,8,19,28
L,75,89,26,57,.456,9,18,.500,14,23,.609,9,31,10,6,0,18,25,30,53,.566,5,16,.313,24,31,.774,4,30,14,13,3,10,18
W,69,66,29,56,.518,4,14,.286,7,11,.636,9,34,14,10,2,17,10,26,62,.419,9,24,.375,5,6,.833,11,29,12,13,1,16,15
W,87,56,33,61,.541,13,28,.464,8,16,.500,12,39,21,9,3,15,18,20,54,.370,4,14,.286,12,20,.600,8,23,4,11,2,16,16
L (1 OT),86,89,28,71,.394,9,27,.333,21,34,.618,25,52,15,9,3,19,23,30,63,.476,9,20,.450,20,28,.714,9,29,20,9,4,12,27
L,61,65,25,62,.403,6,21,.286,5,8,.625,13,37,13,7,2,10,20,22,46,.478,7,16,.438,14,22,.636,3,26,14,6,3,10,11
L,46,76,16,55,.291,7,28,.250,7,11,.636,11,28,13,4,2,15,16,27,57,.474,12,26,.462,10,11,.909,10,34,17,9,3,8,15
W,86,73,32,62,.516,8,21,.381,14,25,.560,11,43,19,6,2,13,20,26,62,.419,5,16,.313,16,23,.696,9,28,10,7,3,9,23
L,54,61,18,63,.286,4,24,.167,14,24,.583,16,48,8,6,5,11,23,19,54,.352,8,20,.400,15,27,.556,6,40,9,5,4,10,19
L,70,72,28,65,.431,8,29,.276,6,12,.500,9,32,19,7,3,7,21,26,57,.456,6,15,.400,14,21,.667,9,39,16,5,6,9,14
W (1 OT),68,66,22,62,.355,3,11,.273,21,29,.724,15,42,7,6,1,12,26,24,63,.381,1,19,.053,17,25,.680,13,38,12,6,7,11,22
W (1 OT),72,70,26,61,.426,8,20,.400,12,14,.857,7,39,16,3,2,10,18,25,65,.385,5,18,.278,15,19,.789,7,35,17,4,4,7,16
L,70,78,24,60,.400,5,11,.455,17,26,.654,17,45,10,6,1,17,18,28,64,.438,3,11,.273,19,21,.905,9,33,11,8,9,8,20
W,87,81,26,51,.510,7,17,.412,28,39,.718,11,40,11,7,3,14,16,30,66,.455,11,26,.423,10,13,.769,4,21,16,5,3,11,25
L,70,92,26,56,.464,7,24,.292,11,16,.688,9,21,11,7,1,12,12,33,49,.673,12,21,.571,14,17,.824,2,23,16,6,3,10,13
W,71,64,24,52,.462,4,13,.308,19,30,.633,9,30,13,6,3,8,18,23,50,.460,6,22,.273,12,19,.632,7,28,14,3,2,12,21
W,82,79,28,49,.571,7,21,.333,19,28,.679,4,23,16,10,3,15,17,28,53,.528,7,17,.412,16,20,.800,4,21,14,7,2,16,25
W,62,59,26,63,.413,3,18,.167,7,11,.636,17,33,10,9,2,9,10,24,49,.490,5,14,.357,6,8,.750,5,26,12,7,3,15,17
W,70,64,25,51,.490,7,18,.389,13,16,.813,7,29,10,4,3,14,15,21,52,.404,6,21,.286,16,20,.800,7,22,10,7,2,8,17
