W,85,76,30,57,.526,9,18,.500,16,26,.615,7,30,16,6,4,15,20,24,55,.436,7,20,.350,21,30,.700,9,29,8,11,4,13,28
W,81,49,27,46,.587,12,24,.500,15,16,.938,8,30,17,4,6,11,17,17,45,.378,5,20,.250,10,15,.667,5,15,12,3,0,8,16
W (1 OT),70,69,23,68,.338,7,23,.304,17,25,.680,14,40,15,7,5,20,22,20,65,.308,6,28,.214,23,27,.852,13,38,10,15,4,18,24
W,92,50,33,65,.508,8,24,.333,18,21,.857,15,42,17,6,9,12,17,16,52,.308,5,14,.357,13,21,.619,5,19,6,6,1,14,19
W,61,46,23,53,.434,4,15,.267,11,18,.611,12,36,10,5,6,13,24,10,52,.192,2,26,.077,24,32,.750,15,30,2,7,0,15,17
W,64,50,23,51,.451,4,13,.308,14,19,.737,9,33,13,12,1,15,21,14,44,.318,6,15,.400,16,26,.615,8,27,9,6,2,17,19
W,68,50,29,62,.468,4,13,.308,6,7,.857,9,34,18,11,3,13,15,18,51,.353,5,20,.250,9,14,.643,9,28,5,7,2,18,14
W,70,54,25,61,.410,8,21,.381,12,19,.632,10,32,16,13,6,9,17,19,46,.413,5,15,.333,11,16,.688,7,33,5,7,1,22,18
L,64,67,22,57,.386,5,16,.313,15,25,.600,10,32,6,10,4,13,23,19,55,.345,3,12,.250,26,36,.722,11,38,6,6,2,16,18
W,77,66,27,62,.435,10,25,.400,13,20,.650,7,29,18,9,4,6,21,21,50,.420,6,11,.545,18,27,.667,11,36,5,3,2,17,18
L,60,62,22,62,.355,2,16,.125,14,20,.700,13,32,10,8,4,13,22,21,51,.412,3,16,.188,17,27,.630,11,34,8,9,5,14,21
W,90,62,35,67,.522,10,21,.476,10,16,.625,13,42,18,6,10,12,16,22,62,.355,5,23,.217,13,19,.684,8,31,12,7,4,12,17
L,54,70,18,57,.316,9,25,.360,9,15,.600,15,33,12,6,2,17,30,20,43,.465,1,7,.143,29,37,.784,10,31,14,4,4,16,18
W,67,61,26,61,.426,5,17,.294,10,17,.588,11,34,11,7,8,7,23,17,47,.362,4,13,.308,23,30,.767,10,38,10,2,3,15,17
W,79,68,28,70,.400,9,25,.360,14,17,.824,15,27,14,11,2,6,10,27,51,.529,11,19,.579,3,5,.600,11,35,16,3,4,25,15
W,70,60,22,54,.407,7,13,.538,19,27,.704,12,33,12,12,5,21,26,17,52,.327,1,11,.091,25,33,.758,13,31,10,6,5,22,22
W,67,56,20,55,.364,5,20,.250,22,31,.710,13,40,12,10,3,20,19,17,55,.309,5,17,.294,17,23,.739,10,30,8,9,3,21,23
W,57,53,15,51,.294,4,13,.308,23,34,.676,9,37,8,7,6,15,28,19,54,.352,0,17,.000,15,28,.536,10,32,8,9,5,15,27
L,69,85,24,58,.414,5,20,.250,16,19,.842,9,23,11,7,1,13,26,28,48,.583,8,20,.400,21,28,.750,7,29,17,6,5,17,16
W,98,69,30,61,.492,15,26,.577,23,33,.697,12,35,23,7,5,15,29,21,59,.356,3,21,.143,24,39,.615,14,34,8,7,8,19,24
W,63,53,20,57,.351,9,25,.360,14,19,.737,10,36,9,6,4,14,19,20,56,.357,1,17,.059,12,17,.706,8,34,8,2,0,14,21
W,88,63,30,61,.492,7,21,.333,21,31,.677,11,34,10,10,1,14,17,24,60,.400,6,20,.300,9,14,.643,10,32,10,7,3,22,22
W,77,75,26,60,.433,11,24,.458,14,25,.560,8,24,13,9,2,7,22,24,49,.490,5,9,.556,22,28,.786,8,32,12,6,5,14,20
L (4 OT),86,90,23,88,.261,5,31,.161,35,50,.700,22,51,7,11,2,13,26,30,71,.423,8,27,.296,22,33,.667,10,56,11,6,5,24,36
W,77,73,27,54,.500,6,15,.400,17,29,.586,5,22,12,4,2,11,15,27,51,.529,11,27,.407,8,12,.667,6,30,12,5,4,18,27
L,76,83,28,65,.431,6,22,.273,14,17,.824,12,27,15,3,4,12,18,30,56,.536,7,14,.500,16,18,.889,9,27,12,6,6,13,19
L,62,71,24,56,.429,1,9,.111,13,22,.591,8,31,7,6,1,10,22,20,45,.444,9,25,.360,22,32,.688,7,33,9,4,8,14,22
L,66,81,22,56,.393,3,14,.214,19,22,.864,8,25,8,7,1,15,22,25,51,.490,9,19,.474,22,27,.815,8,30,13,9,4,15,21
W,82,55,27,60,.450,9,23,.391,19,26,.731,6,29,15,7,6,18,19,18,54,.333,1,13,.077,18,21,.857,9,29,3,9,6,19,22
W,63,57,17,50,.340,4,19,.211,25,34,.735,13,35,9,10,1,16,14,20,55,.364,7,26,.269,10,12,.833,9,29,10,6,7,18,26
L,70,75,23,63,.365,9,29,.310,15,24,.625,11,30,17,8,3,12,25,24,52,.462,8,17,.471,19,30,.633,9,38,11,3,4,17,20
