W,75,61,21,51,.412,6,20,.300,27,38,.711,13,37,9,9,5,14,16,22,57,.386,10,29,.345,7,11,.636,9,29,11,8,3,14,28
W,82,72,28,74,.378,7,24,.292,19,26,.731,17,47,15,6,8,9,14,25,68,.368,8,23,.348,14,17,.824,9,38,9,4,4,12,20
W,65,63,24,67,.358,5,26,.192,12,15,.800,15,39,10,6,5,11,15,24,63,.381,6,23,.261,9,16,.563,10,38,13,7,6,12,16
W,88,54,31,63,.492,11,25,.440,15,21,.714,11,37,18,15,4,10,11,22,64,.344,3,11,.273,7,8,.875,13,35,15,5,4,18,17
W,78,73,26,53,.491,12,24,.500,14,26,.538,7,34,15,4,8,14,23,27,65,.415,6,17,.353,13,18,.722,9,34,13,8,2,11,22
W,96,72,33,61,.541,14,35,.400,16,24,.667,8,35,26,6,8,11,16,30,66,.455,5,22,.227,7,15,.467,9,27,18,4,1,9,22
W,76,55,30,59,.508,3,18,.167,13,18,.722,11,43,10,7,2,9,13,18,57,.316,8,34,.235,11,13,.846,6,26,10,5,0,10,14
W,91,84,30,66,.455,9,21,.429,22,30,.733,11,33,15,11,4,10,22,30,69,.435,5,23,.217,19,26,.731,14,40,9,8,4,16,25
W,93,67,30,53,.566,12,23,.522,21,27,.778,5,33,18,5,14,9,14,26,68,.382,8,19,.421,7,11,.636,13,32,9,2,2,11,21
W,82,77,29,62,.468,5,15,.333,19,22,.864,10,34,16,5,9,9,16,26,66,.394,11,27,.407,14,18,.778,14,30,10,6,9,11,18
W,79,67,30,62,.484,6,18,.333,13,19,.684,9,40,17,6,10,7,10,27,66,.409,12,30,.400,1,2,.500,4,25,17,3,2,11,19
W,83,75,29,53,.547,8,19,.421,17,19,.895,5,29,17,4,4,13,12,24,64,.375,14,36,.389,13,19,.684,10,28,19,9,2,9,20
W (1 OT),94,92,36,81,.444,8,23,.348,14,21,.667,13,40,16,12,4,9,22,29,73,.397,13,38,.342,21,24,.875,16,50,17,4,4,17,17
W,70,63,19,51,.373,5,18,.278,27,33,.818,12,38,10,5,8,10,23,23,59,.390,4,17,.235,13,24,.542,12,33,12,6,1,7,24
L,61,84,18,58,.310,7,18,.389,18,22,.818,9,34,9,4,4,17,20,32,69,.464,8,20,.400,12,18,.667,11,37,24,7,8,6,16
W,72,56,24,57,.421,8,25,.320,16,19,.842,7,31,14,10,5,18,16,20,55,.364,4,15,.267,12,16,.750,8,31,11,9,1,20,18
L,73,74,28,55,.509,7,12,.583,10,21,.476,7,26,12,6,4,12,17,29,61,.475,9,23,.391,7,14,.500,10,33,14,7,6,13,21
L,64,86,22,60,.367,6,16,.375,14,26,.538,11,30,11,6,3,10,18,32,58,.552,9,17,.529,13,17,.765,8,32,10,7,2,10,18
W,71,68,26,66,.394,3,19,.158,16,22,.727,17,35,12,5,0,7,15,25,55,.455,11,24,.458,7,13,.538,11,36,14,2,3,17,20
L,66,73,22,59,.373,7,21,.333,15,18,.833,9,32,16,5,8,12,17,23,58,.397,10,26,.385,17,22,.773,10,31,11,6,4,9,18
W,82,79,33,64,.516,14,27,.519,2,3,.667,9,27,22,8,7,13,12,29,57,.509,9,20,.450,12,14,.857,5,25,11,5,3,14,10
W,84,76,27,67,.403,14,34,.412,16,21,.762,11,34,20,12,5,8,16,30,62,.484,6,20,.300,10,15,.667,8,34,18,4,6,17,20
W,82,74,28,61,.459,6,17,.353,20,27,.741,7,29,18,14,5,12,18,28,67,.418,9,28,.321,9,13,.692,9,35,17,4,5,17,18
W,86,77,32,56,.571,9,22,.409,13,20,.650,5,33,17,2,3,10,9,33,68,.485,8,21,.381,3,5,.600,9,32,21,7,0,9,19
W,92,66,28,55,.509,10,22,.455,26,31,.839,9,31,14,6,7,10,17,24,62,.387,9,22,.409,9,14,.643,10,29,12,4,3,10,23
L,70,81,22,59,.373,6,27,.222,20,23,.870,11,30,13,3,8,15,17,29,64,.453,10,23,.435,13,18,.722,11,34,13,8,2,11,19
L,70,102,22,65,.338,7,22,.318,19,27,.704,11,28,10,9,2,9,14,42,78,.538,10,20,.500,8,8,1.000,13,46,23,5,6,10,17
L,77,90,27,51,.529,5,15,.333,18,22,.818,6,27,16,3,1,14,17,32,63,.508,11,20,.550,15,17,.882,10,28,16,7,4,8,16
L,82,83,31,55,.564,12,28,.429,8,11,.727,5,30,20,5,4,12,12,30,65,.462,13,28,.464,10,14,.714,9,30,19,6,0,7,10
W,87,64,35,66,.530,10,24,.417,7,10,.700,11,32,25,9,7,8,13,25,57,.439,5,19,.263,9,10,.900,8,26,17,4,0,14,12
W,74,58,27,46,.587,4,14,.286,16,20,.800,3,24,17,11,9,14,18,21,50,.420,5,19,.263,11,21,.524,8,25,11,8,0,16,22
