W,135,76,51,84,.607,19,38,.500,14,20,.700,22,57,29,9,7,18,20,27,65,.415,12,31,.387,10,15,.667,4,19,14,8,1,21,16
W,70,67,21,53,.396,3,14,.214,25,36,.694,11,38,10,10,3,17,18,22,59,.373,6,22,.273,17,19,.895,8,33,13,6,3,13,22
L,51,74,19,71,.268,7,33,.212,6,10,.600,10,32,11,6,5,9,14,26,53,.491,8,16,.500,14,16,.875,5,44,23,3,10,18,13
L,67,71,21,52,.404,6,24,.250,19,27,.704,13,43,9,6,7,23,21,24,58,.414,10,26,.385,13,21,.619,8,30,14,11,2,10,21
L,67,79,27,58,.466,6,20,.300,7,14,.500,7,27,10,4,0,11,14,28,54,.519,12,28,.429,11,15,.733,8,36,19,4,1,13,17
W,65,63,22,50,.440,5,16,.313,16,20,.800,7,27,9,10,6,16,22,20,56,.357,9,25,.360,14,20,.700,10,30,12,4,1,18,17
L,74,80,24,67,.358,11,30,.367,15,23,.652,16,38,14,11,5,15,15,29,59,.492,8,17,.471,14,17,.824,7,32,16,12,7,18,17
W,83,65,29,58,.500,9,22,.409,16,24,.667,12,45,16,7,2,16,23,19,60,.317,12,29,.414,15,23,.652,10,30,10,5,1,13,20
W,88,59,33,69,.478,13,30,.433,9,13,.692,14,41,17,3,8,8,24,18,56,.321,3,11,.273,20,29,.690,9,32,10,5,1,10,15
W,114,52,42,72,.583,10,25,.400,20,27,.741,9,52,29,11,5,11,17,18,70,.257,6,26,.231,10,17,.588,9,30,4,5,2,16,22
L,77,82,26,66,.394,11,27,.407,14,18,.778,14,30,10,6,9,11,18,29,62,.468,5,15,.333,19,22,.864,10,34,16,5,9,9,16
L,66,72,23,67,.343,6,26,.231,14,19,.737,8,32,6,12,2,15,24,25,62,.403,4,23,.174,18,26,.692,14,46,12,6,5,18,16
W,92,84,30,63,.476,6,21,.286,26,33,.788,10,37,14,9,5,8,17,29,64,.453,16,38,.421,10,18,.556,7,30,18,2,3,13,26
W,83,65,30,61,.492,13,30,.433,10,19,.526,11,33,12,5,3,9,19,22,57,.386,8,25,.320,13,15,.867,10,31,7,3,1,16,18
L,75,76,27,53,.509,7,18,.389,14,20,.700,9,39,11,2,2,19,19,26,61,.426,6,24,.250,18,26,.692,5,23,11,8,1,6,19
L,82,86,27,62,.435,12,32,.375,16,18,.889,12,37,14,3,1,13,23,29,63,.460,7,29,.241,21,25,.840,10,28,6,8,4,6,18
W,80,77,27,49,.551,8,20,.400,18,26,.692,6,25,17,3,5,12,17,26,58,.448,11,26,.423,14,18,.778,11,29,13,4,6,10,23
W,93,71,33,56,.589,17,31,.548,10,16,.625,2,34,22,2,1,17,27,22,61,.361,4,25,.160,23,33,.697,10,31,6,2,1,7,21
L,71,75,24,56,.429,7,21,.333,16,20,.800,11,30,10,5,4,12,24,25,53,.472,7,16,.438,18,27,.667,13,36,17,8,4,10,18
L,80,82,31,53,.585,9,17,.529,9,13,.692,6,23,19,4,2,12,15,32,55,.582,10,18,.556,8,17,.471,9,22,15,6,1,8,12
W,78,69,25,54,.463,5,13,.385,23,29,.793,9,30,10,4,2,11,20,19,44,.432,7,19,.368,24,29,.828,5,25,13,3,1,14,21
L,72,78,22,50,.440,12,27,.444,16,20,.800,7,25,13,6,5,16,16,32,58,.552,4,15,.267,10,18,.556,8,29,14,11,3,12,19
W,83,76,25,57,.439,10,23,.435,23,34,.676,12,39,17,2,1,15,15,26,61,.426,11,32,.344,13,15,.867,8,31,9,6,2,12,27
L,71,76,23,60,.383,8,32,.250,17,19,.895,8,32,9,1,4,8,18,27,56,.482,7,18,.389,15,21,.714,5,32,14,6,4,5,16
W,100,88,27,50,.540,6,19,.316,40,50,.800,6,28,11,7,3,12,17,31,66,.470,11,28,.393,15,20,.750,15,32,17,6,2,16,31
W (1 OT),73,72,27,66,.409,6,25,.240,13,18,.722,11,33,14,2,4,8,15,30,66,.455,6,23,.261,6,11,.545,11,34,19,6,7,8,16
W,87,78,26,54,.481,12,27,.444,23,36,.639,11,34,13,7,5,10,14,28,64,.438,13,37,.351,9,10,.900,9,28,14,6,4,14,20
W,76,66,26,56,.464,6,16,.375,18,27,.667,9,41,7,8,2,13,6,27,67,.403,8,30,.267,4,9,.444,9,34,11,9,2,13,19
L,59,63,23,56,.411,6,18,.333,7,7,1.000,12,29,8,5,4,9,15,24,50,.480,8,17,.471,7,11,.636,9,29,17,5,2,11,14
L,67,82,25,61,.410,8,26,.308,9,15,.600,9,31,8,11,1,15,14,31,62,.500,7,25,.280,13,16,.813,10,38,20,11,1,15,15
W,81,72,23,50,.460,8,24,.333,27,37,.730,4,34,15,4,5,12,22,26,77,.338,4,20,.200,16,23,.696,17,43,5,6,0,9,23
W,57,54,14,42,.333,5,18,.278,24,31,.774,6,27,7,8,2,7,12,16,44,.364,6,23,.261,16,17,.941,7,28,6,3,5,9,23
