W,80,67,30,66,.455,7,23,.304,13,17,.765,8,40,14,3,3,10,11,24,67,.358,9,30,.300,10,14,.714,3,32,11,2,1,11,17
W,99,73,37,66,.561,12,30,.400,13,23,.565,8,36,24,8,3,9,22,23,52,.442,9,23,.391,18,26,.692,3,30,10,4,1,14,20
W,88,72,33,55,.600,7,17,.412,15,29,.517,5,31,19,2,4,12,19,26,59,.441,9,24,.375,11,15,.733,7,24,17,4,3,12,25
W,92,72,31,62,.500,11,24,.458,19,20,.950,9,33,20,6,3,8,21,26,58,.448,4,14,.286,16,21,.762,9,27,11,2,4,11,22
L,65,68,22,60,.367,11,28,.393,10,13,.769,5,27,12,4,2,7,13,30,65,.462,5,19,.263,3,8,.375,13,47,17,4,5,13,13
W,66,53,21,50,.420,8,18,.444,16,22,.727,5,29,15,3,3,17,19,17,57,.298,4,21,.190,15,18,.833,12,35,8,9,4,14,20
W,73,70,24,46,.522,6,14,.429,19,21,.905,6,27,8,4,1,14,17,28,59,.475,10,27,.370,4,7,.571,7,25,11,3,1,9,21
W,75,59,26,57,.456,8,26,.308,15,19,.789,11,33,19,5,3,10,11,24,51,.471,8,19,.421,3,5,.600,3,24,17,4,3,15,18
W,80,75,26,56,.464,10,26,.385,18,30,.600,9,29,18,5,1,13,15,29,67,.433,8,27,.296,9,11,.818,12,38,11,0,4,16,22
W,113,71,42,69,.609,11,18,.611,18,26,.692,10,49,30,5,5,16,12,28,76,.368,10,37,.270,5,10,.500,6,25,11,12,4,18,22
W,87,59,25,60,.417,6,23,.261,31,37,.838,10,42,10,5,4,12,17,22,66,.333,5,22,.227,10,19,.526,12,38,7,2,5,17,28
W,87,70,32,65,.492,11,28,.393,12,20,.600,9,43,14,6,6,14,17,25,69,.362,6,24,.250,14,15,.933,8,36,8,6,4,16,19
W,89,75,32,58,.552,8,13,.615,17,26,.654,6,31,18,3,4,9,19,28,67,.418,5,16,.313,14,22,.636,18,41,8,5,5,10,20
L,78,104,25,58,.431,13,30,.433,15,24,.625,4,21,18,8,1,20,22,41,64,.641,6,17,.353,16,24,.667,6,38,21,11,6,17,21
L,78,93,28,62,.452,4,15,.267,18,26,.692,12,32,7,7,4,16,25,31,63,.492,7,17,.412,24,32,.750,14,37,17,11,6,12,20
W,83,73,28,57,.491,8,20,.400,19,27,.704,7,29,20,3,3,6,17,28,65,.431,5,17,.294,12,16,.750,10,35,12,3,7,11,20
L,71,76,28,57,.491,5,18,.278,10,18,.556,8,29,12,4,4,13,18,28,54,.519,7,18,.389,13,20,.650,6,30,14,8,4,13,16
W,62,61,22,55,.400,6,25,.240,12,16,.750,7,32,13,1,2,12,16,23,51,.451,6,14,.429,9,15,.600,5,28,16,6,10,10,15
W,82,81,29,53,.547,8,21,.381,16,17,.941,5,30,12,4,2,12,10,31,64,.484,13,27,.481,6,11,.545,9,29,22,7,5,9,18
L,72,91,26,51,.510,9,25,.360,11,18,.611,2,17,14,4,3,10,13,36,73,.493,14,30,.467,5,9,.556,18,41,25,3,5,7,16
W,85,79,26,44,.591,12,18,.667,21,30,.700,1,24,15,4,2,12,16,27,61,.443,12,29,.414,13,19,.684,10,32,13,3,1,12,19
L,48,71,15,42,.357,3,20,.150,15,20,.750,3,21,5,2,2,14,19,25,54,.463,5,16,.313,16,21,.762,11,35,15,5,4,9,19
L,68,74,22,46,.478,4,13,.308,20,25,.800,3,28,12,5,1,14,15,29,64,.453,7,21,.333,9,13,.692,7,28,15,6,5,9,17
W (2 OT),80,78,26,59,.441,8,26,.308,20,26,.769,6,38,13,1,5,17,20,28,66,.424,8,23,.348,14,24,.583,8,35,13,6,6,10,20
W,66,63,22,55,.400,10,23,.435,12,15,.800,8,27,16,4,3,8,10,25,60,.417,10,20,.500,3,5,.600,14,42,14,2,2,13,14
L,90,94,29,49,.592,17,26,.654,15,19,.789,5,24,16,1,1,9,16,35,68,.515,12,22,.545,12,15,.800,16,33,15,5,4,3,16
W,71,70,26,53,.491,12,22,.545,7,8,.875,4,22,17,2,5,9,13,26,63,.413,9,17,.529,9,10,.900,15,34,9,5,2,10,13
W,91,75,31,46,.674,12,18,.667,17,20,.850,3,25,18,4,2,18,13,28,56,.500,10,26,.385,9,10,.900,3,16,12,9,0,11,20
W,66,61,19,37,.514,10,20,.500,18,26,.692,1,22,12,3,0,11,12,21,49,.429,7,21,.333,12,17,.706,2,23,15,6,1,9,20
L,84,89,30,58,.517,8,26,.308,16,17,.941,5,24,13,5,4,9,22,27,51,.529,8,19,.421,27,33,.818,8,30,11,5,3,10,17
