W,66,47,26,58,.448,2,21,.095,12,15,.800,11,36,7,6,6,11,14,16,50,.320,3,17,.176,12,14,.857,3,21,6,4,0,13,16
W,94,81,24,57,.421,10,26,.385,36,42,.857,13,34,20,3,7,12,34,23,57,.404,7,25,.280,28,43,.651,16,38,7,6,6,16,34
L,86,100,28,64,.438,7,23,.304,23,33,.697,9,31,17,1,2,13,25,35,72,.486,8,20,.400,22,29,.759,13,42,18,7,3,7,26
W (1 OT),84,80,30,60,.500,10,22,.455,14,17,.824,4,33,10,4,4,21,21,30,68,.441,11,24,.458,9,16,.563,7,29,15,5,2,22,21
L,60,65,24,57,.421,9,22,.409,3,11,.273,6,34,9,6,4,11,13,24,69,.348,12,38,.316,5,8,.625,17,48,11,4,2,11,13
W (1 OT),58,57,21,54,.389,8,26,.308,8,12,.667,3,28,12,6,3,20,10,23,61,.377,5,22,.227,6,7,.857,9,36,7,12,4,15,14
L,67,83,24,58,.414,8,28,.286,11,14,.786,4,23,10,5,6,15,20,32,62,.516,4,14,.286,15,25,.600,10,41,13,8,4,14,16
W,106,63,42,80,.525,11,27,.407,11,16,.688,14,42,18,20,3,17,12,28,70,.400,3,19,.158,4,7,.571,13,36,5,9,3,28,19
W,86,79,27,53,.509,10,24,.417,22,30,.733,8,31,9,7,3,16,22,23,54,.426,11,23,.478,22,25,.880,6,25,12,3,4,17,21
W,86,84,25,59,.424,11,25,.440,25,33,.758,13,38,13,6,5,14,18,29,59,.492,9,22,.409,17,21,.810,4,30,10,6,5,14,28
W,66,55,20,53,.377,5,22,.227,21,29,.724,6,36,12,8,6,6,17,19,56,.339,7,26,.269,10,17,.588,9,35,12,2,2,13,19
W,84,68,29,59,.492,10,22,.455,16,22,.727,7,40,17,3,10,15,18,26,74,.351,4,21,.190,12,15,.800,14,38,8,3,6,11,21
L,80,82,28,60,.467,8,23,.348,16,23,.696,8,32,7,8,9,9,12,28,66,.424,16,33,.485,10,15,.667,9,36,20,6,4,12,20
W,80,74,28,62,.452,17,34,.500,7,14,.500,8,31,16,7,3,11,19,26,59,.441,3,19,.158,19,24,.792,7,33,11,3,2,12,15
W,83,65,32,77,.416,10,36,.278,9,10,.900,14,38,13,10,5,7,14,24,53,.453,6,23,.261,11,16,.688,5,32,4,2,5,18,15
W,75,52,28,61,.459,11,33,.333,8,17,.471,6,35,16,6,5,6,15,18,58,.310,6,20,.300,10,16,.625,11,35,5,3,3,11,12
W,72,63,25,52,.481,8,21,.381,14,25,.560,9,36,9,9,8,10,13,21,55,.382,8,19,.421,13,16,.813,8,29,12,4,5,12,16
W,76,73,24,57,.421,9,30,.300,19,26,.731,8,36,9,7,4,14,23,22,53,.415,6,18,.333,23,31,.742,6,28,12,6,1,16,22
W,61,48,20,52,.385,7,21,.333,14,18,.778,9,36,12,2,6,14,20,17,51,.333,3,24,.125,11,19,.579,5,27,7,6,1,10,20
W,72,70,26,56,.464,7,20,.350,13,20,.650,7,28,16,8,3,15,22,24,54,.444,3,12,.250,19,27,.704,12,36,12,9,5,14,19
L (1 OT),80,83,26,57,.456,7,16,.438,21,27,.778,5,31,8,11,8,16,16,32,68,.471,10,21,.476,9,11,.818,7,33,13,7,2,15,17
W,81,65,25,50,.500,10,24,.417,21,27,.778,2,33,13,1,5,11,21,23,64,.359,2,19,.105,17,26,.654,16,41,8,6,3,11,23
W,76,62,26,50,.520,6,17,.353,18,21,.857,5,30,10,4,5,13,19,21,54,.389,5,16,.313,15,19,.789,8,24,5,6,3,9,20
L (2 OT),101,104,37,67,.552,14,33,.424,13,17,.765,4,26,19,11,5,20,26,34,70,.486,9,23,.391,27,32,.844,14,41,18,13,3,17,20
W,77,71,26,67,.388,6,21,.286,19,28,.679,13,37,12,9,6,12,22,23,49,.469,4,10,.400,21,27,.778,6,32,10,7,4,18,21
W,83,63,30,61,.492,11,23,.478,12,21,.571,14,44,14,5,3,17,15,22,61,.361,5,20,.250,14,18,.778,5,23,6,5,6,10,18
W,84,67,28,56,.500,10,25,.400,18,25,.720,6,30,13,7,8,10,18,21,52,.404,11,24,.458,14,18,.778,6,27,9,5,2,12,20
W,86,72,28,63,.444,13,34,.382,17,25,.680,17,40,12,4,3,12,21,23,58,.397,3,11,.273,23,31,.742,12,33,6,7,1,11,23
W,93,56,31,59,.525,16,33,.485,15,18,.833,11,34,21,8,7,8,12,23,67,.343,7,24,.292,3,5,.600,15,31,11,2,1,13,17
W,92,78,32,61,.525,14,30,.467,14,25,.560,8,37,17,5,5,13,22,27,57,.474,2,12,.167,22,32,.688,5,27,5,8,1,12,25
W (1 OT),80,77,23,64,.359,9,26,.346,25,28,.893,9,44,7,4,9,14,20,28,77,.364,9,26,.346,12,19,.632,15,44,13,12,5,14,22
W,76,59,23,51,.451,10,26,.385,20,26,.769,5,32,13,9,2,9,9,22,63,.349,9,36,.250,6,7,.857,8,31,5,9,4,11,16
