W,82,70,26,58,.448,11,27,.407,19,28,.679,12,36,16,8,7,16,30,23,60,.383,2,17,.118,22,36,.611,15,37,7,7,3,17,22
W,86,64,34,57,.596,6,18,.333,12,32,.375,5,40,17,9,10,13,17,23,70,.329,7,27,.259,11,19,.579,12,40,10,5,4,14,23
W,104,67,40,63,.635,16,27,.593,8,15,.533,11,44,25,3,6,15,20,25,58,.431,8,15,.533,9,24,.375,6,19,10,7,0,7,11
W,77,76,27,53,.509,8,25,.320,15,24,.625,6,26,12,9,4,14,13,31,60,.517,10,21,.476,4,7,.571,8,30,19,3,1,18,23
W,71,59,27,55,.491,5,13,.385,12,16,.750,8,31,12,6,6,9,19,22,59,.373,4,17,.235,11,21,.524,10,30,15,3,3,11,21
L,84,89,27,58,.466,7,18,.389,23,32,.719,10,31,9,4,6,13,19,30,66,.455,8,19,.421,21,27,.778,15,38,16,7,6,12,24
W,77,74,24,54,.444,2,9,.222,27,37,.730,9,42,10,8,6,18,21,24,65,.369,4,23,.174,22,30,.733,8,29,8,8,2,14,29
L,62,65,22,51,.431,3,13,.231,15,23,.652,7,26,14,8,8,15,16,25,52,.481,7,15,.467,8,15,.533,8,34,15,8,3,17,19
W,68,64,21,47,.447,2,11,.182,24,39,.615,11,45,10,4,5,24,16,25,71,.352,7,23,.304,7,11,.636,7,26,7,13,6,12,29
L,82,88,24,62,.387,10,24,.417,24,28,.857,6,26,15,5,2,8,27,29,56,.518,8,16,.500,22,35,.629,12,41,17,2,3,12,21
W,80,79,28,62,.452,6,28,.214,18,23,.783,13,34,12,6,8,13,21,26,55,.473,10,28,.357,17,22,.773,7,27,14,7,0,14,20
L,50,66,21,61,.344,3,15,.200,5,9,.556,9,34,9,8,3,11,14,24,54,.444,7,26,.269,11,14,.786,5,35,10,4,9,11,15
W,79,57,26,57,.456,7,23,.304,20,24,.833,9,41,14,7,9,12,20,21,70,.300,2,21,.095,13,20,.650,18,37,9,7,2,12,19
L,75,76,26,52,.500,4,11,.364,19,22,.864,4,28,13,10,8,10,17,23,54,.426,10,25,.400,20,26,.769,6,28,12,7,5,12,15
L,46,65,17,57,.298,4,23,.174,8,11,.727,4,27,7,8,6,12,18,20,58,.345,9,29,.310,16,21,.762,12,46,15,8,5,11,16
W,76,62,30,51,.588,7,17,.412,9,14,.643,8,34,18,8,7,16,19,19,53,.358,5,15,.333,19,25,.760,9,26,8,3,2,13,16
W,74,66,25,57,.439,6,22,.273,18,18,1.000,10,37,8,8,4,18,20,21,52,.404,7,25,.280,17,22,.773,5,23,13,11,3,14,17
W,76,71,25,51,.490,10,23,.435,16,25,.640,5,32,12,8,8,19,25,24,61,.393,9,26,.346,14,22,.636,10,31,11,9,4,14,21
W,68,62,25,60,.417,5,16,.313,13,23,.565,14,37,16,7,6,11,17,21,56,.375,7,23,.304,13,16,.813,9,33,5,7,1,15,20
L,66,78,25,62,.403,6,21,.286,10,14,.714,14,33,17,6,2,11,21,26,52,.500,8,21,.381,18,24,.750,7,31,13,5,4,10,17
W,80,73,30,54,.556,8,19,.421,12,22,.545,7,35,15,8,12,17,11,29,71,.408,8,27,.296,7,9,.778,13,36,12,4,3,12,18
L,60,69,17,48,.354,5,20,.250,21,32,.656,6,25,6,7,3,10,19,25,47,.532,9,23,.391,10,15,.667,4,31,13,3,2,17,25
W,68,50,29,52,.558,4,13,.308,6,12,.500,9,37,12,6,4,19,12,19,57,.333,5,24,.208,7,11,.636,8,24,9,12,3,12,13
L,63,67,18,49,.367,3,22,.136,24,30,.800,9,29,4,4,5,11,23,24,52,.462,2,19,.105,17,28,.607,7,31,10,4,7,9,22
W,78,50,32,56,.571,5,14,.357,9,18,.500,8,37,15,8,7,11,16,16,58,.276,4,17,.235,14,20,.700,11,31,7,4,4,12,16
W,80,65,27,49,.551,10,21,.476,16,23,.696,4,32,17,4,4,14,16,22,56,.393,9,23,.391,12,17,.706,8,31,10,11,3,14,23
L,71,81,26,55,.473,6,24,.250,13,21,.619,9,25,11,3,3,13,22,28,64,.438,4,11,.364,21,28,.750,19,42,10,5,4,13,19
L,71,90,24,52,.462,9,26,.346,14,22,.636,6,35,14,4,5,17,21,29,68,.426,12,34,.353,20,26,.769,12,35,19,14,6,9,16
L,73,76,22,49,.449,11,27,.407,18,27,.667,8,26,14,9,9,15,15,27,57,.474,7,14,.500,15,21,.714,11,29,13,7,2,14,20
L,52,73,18,60,.300,3,15,.200,13,22,.591,17,43,9,4,1,14,19,27,56,.482,7,24,.292,12,20,.600,5,29,9,6,6,6,20
L,66,68,21,56,.375,5,24,.208,19,31,.613,14,36,13,5,6,13,22,23,59,.390,4,21,.190,18,30,.600,13,43,16,6,4,12,23
