W,80,75,30,73,.411,7,24,.292,13,20,.650,17,36,9,8,2,12,22,25,52,.481,8,21,.381,17,19,.895,6,29,13,4,6,18,20
W,81,76,28,65,.431,9,25,.360,16,21,.762,10,37,18,1,5,14,22,26,62,.419,10,21,.476,14,23,.609,10,32,9,7,8,13,24
L,67,73,23,65,.354,10,29,.345,11,17,.647,9,33,9,6,4,17,30,21,53,.396,4,10,.400,27,35,.771,8,36,11,7,3,17,20
W (1 OT),96,91,32,71,.451,14,36,.389,18,26,.692,11,29,16,3,5,11,23,34,65,.523,5,14,.357,18,21,.857,5,36,16,2,2,12,24
L,80,94,30,72,.417,9,31,.290,11,13,.846,9,23,14,5,0,11,26,28,46,.609,10,21,.476,28,37,.757,5,36,14,3,3,19,20
W,106,87,40,69,.580,12,28,.429,14,19,.737,10,31,26,9,4,9,24,29,64,.453,8,20,.400,21,27,.778,12,31,10,4,3,14,17
L,62,73,19,56,.339,7,29,.241,17,30,.567,6,33,15,7,9,16,25,25,67,.373,5,15,.333,18,27,.667,12,43,9,10,4,14,26
W,75,72,30,60,.500,7,16,.438,8,15,.533,11,36,8,3,4,12,18,25,63,.397,8,18,.444,14,17,.824,10,32,13,1,8,9,17
W,88,54,32,67,.478,11,32,.344,13,18,.722,11,44,23,12,0,17,21,19,60,.317,4,17,.235,12,22,.545,11,35,9,10,2,25,17
W,86,70,30,58,.517,10,26,.385,16,23,.696,12,39,21,10,5,25,25,25,62,.403,2,18,.111,18,29,.621,10,28,11,15,3,17,19
L,74,81,26,69,.377,10,34,.294,12,13,.923,12,29,19,9,3,13,24,26,52,.500,5,11,.455,24,29,.828,8,30,13,8,8,15,13
L,73,89,26,69,.377,17,39,.436,4,11,.364,11,25,19,5,4,18,24,29,57,.509,3,10,.300,28,33,.848,12,43,16,7,9,17,13
W (1 OT),86,81,28,69,.406,9,26,.346,21,28,.750,16,43,14,6,5,12,16,30,71,.423,7,24,.292,14,17,.824,11,38,13,5,2,12,25
W,104,94,35,65,.538,7,20,.350,27,31,.871,5,28,13,9,5,6,25,33,61,.541,10,20,.500,18,30,.600,9,34,19,2,2,16,24
W,83,63,31,65,.477,10,20,.500,11,15,.733,11,43,19,9,6,10,14,23,63,.365,9,22,.409,8,12,.667,9,31,13,8,8,14,11
W,87,65,33,67,.493,7,31,.226,14,21,.667,11,35,14,9,5,11,29,15,47,.319,6,20,.300,29,41,.707,9,27,5,6,1,16,21
W,82,66,34,69,.493,13,31,.419,1,4,.250,9,37,19,2,4,8,17,25,59,.424,6,21,.286,10,17,.588,7,33,10,2,1,8,10
W,95,67,37,68,.544,11,31,.355,10,17,.588,9,33,24,8,2,8,20,22,50,.440,4,16,.250,19,26,.731,6,30,5,3,1,16,18
W,84,74,31,66,.470,10,26,.385,12,17,.706,6,39,18,5,5,15,22,24,60,.400,7,22,.318,19,27,.704,5,32,11,3,2,11,17
W,83,69,23,57,.404,10,25,.400,27,36,.750,13,45,19,10,2,16,22,25,65,.385,11,26,.423,8,21,.381,12,34,11,10,8,14,25
W,73,66,27,64,.422,8,28,.286,11,17,.647,15,49,12,5,5,16,22,22,65,.338,7,21,.333,15,22,.682,11,34,11,4,7,12,18
L,79,82,30,54,.556,8,19,.421,11,14,.786,2,22,16,5,2,10,24,26,57,.456,8,21,.381,22,25,.880,8,29,12,5,1,9,15
W,92,86,34,58,.586,10,21,.476,14,22,.636,7,29,21,2,3,13,18,31,65,.477,4,16,.250,20,27,.741,9,31,8,5,1,7,21
W,88,82,32,64,.500,11,30,.367,13,15,.867,9,32,17,6,5,14,19,29,66,.439,8,34,.235,16,17,.941,8,32,13,6,4,14,18
L (1 OT),88,90,34,68,.500,9,26,.346,11,26,.423,11,33,14,5,5,14,21,31,65,.477,4,18,.222,24,29,.828,8,30,8,5,4,8,21
W,84,72,33,63,.524,7,22,.318,11,15,.733,10,42,19,8,6,13,13,28,71,.394,8,25,.320,8,12,.667,7,26,14,8,2,12,19
W,95,82,33,64,.516,12,20,.600,17,22,.773,6,35,24,6,6,8,23,26,63,.413,5,20,.250,25,29,.862,9,35,12,3,4,10,20
L,81,84,30,57,.526,11,23,.478,10,17,.588,6,31,13,7,2,17,16,30,60,.500,11,33,.333,13,16,.813,4,27,15,10,1,11,13
W,108,82,39,74,.527,8,25,.320,22,30,.733,14,46,27,4,2,11,22,27,60,.450,9,20,.450,19,29,.655,7,30,17,8,1,13,20
W,80,68,27,52,.519,8,20,.400,18,24,.750,8,28,13,6,6,16,16,26,59,.441,10,26,.385,6,12,.500,8,25,15,9,2,16,21
W,100,70,38,67,.567,10,26,.385,14,20,.700,11,36,16,6,2,7,23,21,59,.356,4,19,.211,24,31,.774,10,32,6,3,1,11,12
