L,42,84,14,60,.233,2,19,.105,12,29,.414,12,40,4,4,3,19,19,28,68,.412,10,24,.417,18,25,.720,11,46,11,6,9,13,25
L,57,76,22,50,.440,1,11,.091,12,19,.632,10,32,10,4,6,21,19,27,56,.482,7,18,.389,15,17,.882,5,22,17,9,4,8,21
W,77,35,31,77,.403,9,30,.300,6,13,.462,19,55,19,9,2,9,17,10,53,.189,1,25,.040,14,19,.737,4,31,4,4,3,17,11
L,57,64,16,45,.356,5,18,.278,20,28,.714,2,17,8,2,2,9,23,19,45,.422,4,12,.333,22,29,.759,11,38,9,1,3,15,21
W,68,63,22,42,.524,4,9,.444,20,23,.870,3,30,15,6,5,16,15,26,64,.406,7,22,.318,4,7,.571,8,28,19,4,1,12,18
W,70,61,21,39,.538,5,14,.357,23,30,.767,3,27,12,7,3,18,14,24,56,.429,8,22,.364,5,11,.455,6,22,15,3,2,16,21
W,86,58,35,67,.522,5,18,.278,11,13,.846,14,44,18,3,2,9,8,21,59,.356,7,28,.250,9,13,.692,6,22,13,6,1,11,12
W,76,66,25,54,.463,6,14,.429,20,27,.741,5,30,12,8,5,15,22,23,53,.434,5,24,.208,15,22,.682,5,26,15,6,7,16,22
W,91,83,31,57,.544,10,19,.526,19,30,.633,8,29,16,10,0,13,21,30,54,.556,9,23,.391,14,24,.583,7,31,14,6,2,17,25
L (1 OT),89,95,29,60,.483,12,24,.500,19,25,.760,8,34,14,6,4,18,28,28,64,.438,7,19,.368,32,42,.762,14,39,15,10,5,14,22
W,88,80,28,49,.571,6,16,.375,26,31,.839,10,29,20,13,4,20,17,28,64,.438,7,22,.318,17,20,.850,14,28,14,8,4,19,23
L,78,87,18,53,.340,3,13,.231,39,47,.830,9,35,9,6,4,14,24,24,60,.400,9,24,.375,30,36,.833,7,33,17,6,5,11,26
W,68,65,27,50,.540,3,13,.231,11,13,.846,5,33,15,4,4,13,15,20,59,.339,10,22,.455,15,17,.882,9,24,12,2,6,7,20
W (1 OT),101,97,36,62,.581,3,8,.375,26,42,.619,10,40,11,4,4,15,19,31,73,.425,19,39,.487,16,19,.842,9,31,15,7,9,12,27
W,67,64,19,42,.452,6,16,.375,23,31,.742,3,27,9,6,1,16,12,24,54,.444,7,14,.500,9,12,.750,4,29,13,9,3,14,22
W,85,70,28,57,.491,10,20,.500,19,25,.760,8,29,15,6,2,11,24,22,52,.423,3,15,.200,23,31,.742,8,30,9,4,5,18,22
L,64,83,21,46,.457,7,15,.467,15,21,.714,4,24,13,2,1,15,12,34,61,.557,9,21,.429,6,9,.667,8,28,23,8,2,7,14
L,73,81,29,66,.439,6,17,.353,9,13,.692,12,30,7,8,3,12,18,29,62,.468,11,21,.524,12,17,.706,13,37,15,9,3,15,15
L,65,70,22,53,.415,4,16,.250,17,23,.739,7,34,16,3,4,16,20,20,57,.351,4,17,.235,26,30,.867,10,35,8,6,1,11,17
W,69,66,27,44,.614,8,15,.533,7,12,.583,0,21,10,6,3,14,15,25,57,.439,6,17,.353,10,12,.833,10,29,10,5,2,10,15
L,58,63,19,58,.328,5,18,.278,15,20,.750,10,32,8,8,2,10,19,22,57,.386,3,14,.214,16,19,.842,9,38,14,7,4,13,23
W,75,59,27,53,.509,5,13,.385,16,19,.842,5,28,16,14,5,12,13,22,56,.393,5,17,.294,10,12,.833,6,22,10,4,4,16,13
W,68,66,23,41,.561,7,16,.438,15,20,.750,2,31,8,5,7,19,18,24,59,.407,2,16,.125,16,19,.842,5,22,9,10,0,7,16
W,88,70,30,60,.500,7,16,.438,21,26,.808,10,32,21,8,2,8,14,27,51,.529,8,13,.615,8,14,.571,6,26,15,2,2,18,25
L,65,69,24,53,.453,2,13,.154,15,22,.682,9,33,7,6,4,19,24,22,55,.400,4,15,.267,21,28,.750,9,24,9,7,6,10,21
W,81,71,30,57,.526,6,17,.353,15,17,.882,4,27,16,6,5,11,21,25,60,.417,5,16,.313,16,22,.727,13,34,10,3,3,13,18
W,102,76,40,70,.571,4,10,.400,18,24,.750,14,45,20,11,2,9,10,28,64,.438,9,26,.346,11,12,.917,4,20,14,7,4,13,14
L,60,68,21,52,.404,2,17,.118,16,21,.762,4,29,8,3,3,13,19,22,53,.415,8,19,.421,16,24,.667,10,36,14,5,1,11,20
