W,85,57,27,54,.500,6,14,.429,25,31,.806,8,37,14,11,5,15,17,22,56,.393,6,16,.375,7,14,.500,7,30,9,5,2,20,21
W,87,63,33,59,.559,6,19,.316,15,22,.682,12,45,21,5,4,13,14,23,57,.404,9,26,.346,8,14,.571,3,20,9,7,1,9,17
W,81,76,26,53,.491,6,17,.353,23,28,.821,5,32,14,7,2,11,17,28,61,.459,10,26,.385,10,11,.909,4,27,15,4,1,11,21
W,78,59,29,64,.453,10,28,.357,10,12,.833,7,31,18,8,7,5,18,25,56,.446,6,14,.429,3,10,.300,7,32,11,0,0,13,19
L,60,67,23,55,.418,7,26,.269,7,9,.778,4,32,12,5,3,18,18,23,62,.371,10,28,.357,11,13,.846,7,32,12,8,2,11,15
W,84,77,30,49,.612,7,18,.389,17,24,.708,6,36,14,3,4,18,22,26,64,.406,7,29,.241,18,20,.900,9,24,12,7,2,10,22
W,79,65,29,52,.558,10,19,.526,11,13,.846,2,28,16,5,6,10,14,24,55,.436,9,21,.429,8,16,.500,8,28,15,3,4,12,13
W,83,52,35,67,.522,8,21,.381,5,8,.625,6,39,16,7,9,8,14,21,61,.344,5,19,.263,5,8,.625,6,35,9,4,4,16,15
W,81,59,25,60,.417,9,36,.250,22,33,.667,15,35,17,10,4,9,17,21,47,.447,9,21,.429,8,12,.667,5,24,10,4,0,22,26
W,71,69,23,45,.511,5,11,.455,20,30,.667,6,31,11,7,5,15,17,25,61,.410,10,24,.417,9,17,.529,13,32,8,7,2,11,21
W,64,48,20,46,.435,8,20,.400,16,24,.667,8,32,8,9,8,14,9,19,54,.352,2,16,.125,8,10,.800,10,29,3,3,4,14,17
W,89,60,32,56,.571,11,24,.458,14,19,.737,7,36,13,4,7,13,18,16,57,.281,6,23,.261,22,23,.957,8,27,7,7,3,10,19
W,78,62,29,67,.433,7,19,.368,13,15,.867,8,38,17,4,10,9,12,23,66,.348,5,22,.227,11,15,.733,12,41,9,3,6,14,15
W,74,70,24,56,.429,8,23,.348,18,20,.900,7,30,13,8,1,13,14,28,57,.491,9,21,.429,5,6,.833,6,30,15,5,5,14,16
W (1 OT),74,69,25,68,.368,7,24,.292,17,20,.850,10,34,10,15,7,10,14,28,62,.452,4,14,.286,9,12,.750,9,42,12,6,5,20,17
L,77,78,28,53,.528,6,16,.375,15,22,.682,9,40,10,0,7,16,17,28,67,.418,10,21,.476,12,20,.600,8,25,15,11,5,4,17
W,72,63,22,50,.440,12,21,.571,16,17,.941,8,34,13,2,7,12,16,24,63,.381,6,23,.261,9,18,.500,13,29,5,10,5,8,18
L,79,87,27,56,.482,11,31,.355,14,21,.667,7,24,14,8,4,15,19,26,51,.510,15,31,.484,20,24,.833,4,26,23,7,6,14,21
W,67,58,23,52,.442,9,23,.391,12,15,.800,5,31,12,5,7,9,10,24,62,.387,8,31,.258,2,2,1.000,9,36,12,1,3,11,17
L,36,61,15,47,.319,3,20,.150,3,4,.750,5,25,6,5,6,19,10,25,56,.446,7,19,.368,4,8,.500,6,31,9,14,7,11,10
W,72,70,28,62,.452,10,21,.476,6,9,.667,12,31,14,4,1,7,20,25,52,.481,5,11,.455,15,19,.789,8,26,16,2,5,9,12
W,82,78,24,61,.393,15,30,.500,19,27,.704,12,31,17,3,9,10,18,28,62,.452,10,24,.417,12,14,.857,11,36,14,5,5,11,20
W,75,67,24,56,.429,10,24,.417,17,20,.850,5,36,10,3,2,8,17,23,59,.390,8,20,.400,13,17,.765,7,32,12,6,1,8,17
W,72,48,27,59,.458,12,27,.444,6,9,.667,10,35,17,5,5,8,10,18,46,.391,5,15,.333,7,15,.467,5,27,7,5,3,14,11
L (1 OT),79,81,28,61,.459,10,26,.385,13,18,.722,5,27,12,9,2,21,17,32,61,.525,5,19,.263,12,20,.600,7,28,14,9,5,17,21
L,57,66,21,61,.344,5,20,.250,10,12,.833,10,33,17,6,3,13,19,19,49,.388,6,13,.462,22,26,.846,8,35,7,10,6,11,14
L,58,65,22,57,.386,11,36,.306,3,10,.300,9,36,9,2,5,10,18,20,58,.345,9,24,.375,16,25,.640,8,34,14,5,4,5,10
W,75,67,23,47,.489,5,17,.294,24,30,.800,5,29,10,5,3,10,16,24,61,.393,9,18,.500,10,12,.833,13,31,16,6,4,12,25
W,76,63,23,57,.404,10,26,.385,20,26,.769,10,37,13,5,2,8,17,21,50,.420,9,23,.391,12,19,.632,6,27,9,5,7,12,24
L,52,55,18,45,.400,5,16,.313,11,16,.688,8,30,12,3,4,12,18,16,53,.302,6,19,.316,17,20,.850,11,27,5,5,7,7,16
