W (1 OT),68,60,23,70,.329,5,25,.200,17,26,.654,9,35,10,7,4,6,16,23,60,.383,4,14,.286,10,14,.714,9,44,9,3,8,24,25
L,63,81,19,51,.373,5,20,.250,20,29,.690,3,22,4,5,4,10,16,28,58,.483,7,21,.333,18,22,.818,10,42,17,3,3,11,22
W,81,72,29,58,.500,10,22,.455,13,15,.867,6,31,8,8,7,16,22,27,62,.435,5,12,.417,13,19,.684,10,33,10,6,3,17,19
L,68,73,24,57,.421,11,26,.423,9,10,.900,7,28,17,6,4,14,13,24,56,.429,14,25,.560,11,11,1.000,6,29,17,7,4,13,10
W,59,49,19,54,.352,8,28,.286,13,21,.619,10,32,15,5,5,9,16,18,58,.310,9,25,.360,4,5,.800,11,38,13,4,6,15,20
W,55,46,19,52,.365,6,24,.250,11,16,.688,8,28,16,4,2,6,8,19,49,.388,5,16,.313,3,6,.500,9,35,17,3,4,9,18
W,69,60,18,49,.367,9,22,.409,24,36,.667,9,35,11,7,3,12,19,21,55,.382,5,24,.208,13,20,.650,9,32,12,7,3,12,23
W,70,58,21,45,.467,7,18,.389,21,25,.840,9,29,11,5,7,13,14,23,52,.442,7,13,.538,5,9,.556,5,20,11,4,2,11,16
W,92,60,31,60,.517,13,28,.464,17,28,.607,11,41,18,1,3,5,16,20,56,.357,7,22,.318,13,18,.722,6,28,9,3,0,7,21
L,62,68,23,55,.418,4,15,.267,12,15,.800,6,27,8,4,3,9,21,22,53,.415,4,15,.267,20,27,.741,13,36,10,5,5,9,14
W,80,64,28,60,.467,9,27,.333,15,21,.714,7,39,18,7,4,14,14,21,65,.323,7,20,.350,15,19,.789,8,33,11,6,3,13,20
W,67,65,22,50,.440,6,19,.316,17,20,.850,7,28,9,6,1,12,20,21,47,.447,1,16,.063,22,27,.815,8,29,8,2,4,14,19
W,73,62,21,41,.512,9,21,.429,22,28,.786,3,26,12,3,4,11,17,24,54,.444,5,16,.313,9,15,.600,6,26,7,2,2,11,21
W,93,78,32,48,.667,9,18,.500,20,23,.870,2,22,13,4,1,8,18,28,50,.560,5,14,.357,17,22,.773,5,21,8,0,0,9,16
L (1 OT),82,87,30,72,.417,6,19,.316,16,20,.800,13,36,8,5,4,14,20,33,58,.569,4,11,.364,17,24,.708,5,31,13,9,4,11,16
L,62,73,22,58,.379,4,14,.286,14,18,.778,11,33,11,5,6,11,21,25,58,.431,4,17,.235,19,23,.826,10,35,14,6,7,12,17
W,82,66,30,51,.588,7,16,.438,15,18,.833,4,23,11,5,5,7,16,24,54,.444,9,23,.391,9,12,.750,7,25,13,4,1,11,16
L,58,63,21,57,.368,7,24,.292,9,9,1.000,8,37,9,6,2,10,16,21,56,.375,11,33,.333,10,15,.667,9,35,15,3,2,8,13
W,80,76,27,59,.458,10,21,.476,16,21,.762,6,27,14,4,4,8,14,27,58,.466,11,20,.550,11,15,.733,8,35,18,4,0,15,15
W,76,70,26,53,.491,3,17,.176,21,25,.840,5,27,3,1,2,5,20,25,53,.472,6,14,.429,14,21,.667,6,26,11,1,1,7,28
W,62,54,22,57,.386,7,19,.368,11,21,.524,11,43,8,2,4,8,15,16,54,.296,5,25,.200,17,19,.895,7,33,5,0,5,8,19
W,66,59,22,52,.423,7,19,.368,15,19,.789,7,27,7,1,3,6,13,22,58,.379,6,22,.273,9,13,.692,13,35,8,2,2,8,18
W,69,64,25,55,.455,2,16,.125,17,20,.850,5,30,7,7,5,7,17,19,51,.373,8,22,.364,18,21,.857,7,28,15,4,1,11,18
W,86,85,30,52,.577,8,19,.421,18,23,.783,7,26,18,6,5,11,22,26,56,.464,13,26,.500,20,27,.741,8,23,15,5,3,8,18
W,82,77,26,55,.473,8,24,.333,22,29,.759,4,24,11,9,3,6,15,29,56,.518,7,21,.333,12,13,.923,5,29,17,2,4,15,23
W,89,67,37,67,.552,8,16,.500,7,8,.875,9,26,16,6,2,1,15,26,54,.481,6,20,.300,9,14,.643,10,28,8,1,3,11,13
W (1 OT),81,78,28,60,.467,5,18,.278,20,25,.800,11,36,11,7,4,13,19,26,60,.433,8,21,.381,18,21,.857,10,25,9,10,5,10,26
W,88,74,34,50,.680,7,13,.538,13,19,.684,5,30,12,3,1,13,16,29,64,.453,4,22,.182,12,19,.632,15,30,12,6,0,8,16
W,79,58,25,61,.410,17,37,.459,12,16,.750,7,36,12,7,2,6,7,22,56,.393,8,28,.286,6,10,.600,4,30,8,3,2,10,13
L (1 OT),104,114,35,69,.507,11,26,.423,23,29,.793,10,30,15,5,2,9,29,35,59,.593,11,21,.524,33,38,.868,5,32,19,3,5,8,20
W,66,59,25,56,.446,7,19,.368,9,16,.563,10,38,10,6,4,11,13,23,58,.397,3,18,.167,10,15,.667,8,33,8,7,5,8,16
