W,87,67,38,68,.559,8,21,.381,3,4,.750,13,35,19,8,8,16,16,24,63,.381,7,26,.269,12,14,.857,13,29,6,7,0,19,11
W,67,43,25,52,.481,5,24,.208,12,25,.480,13,39,17,12,9,18,22,12,52,.231,1,22,.045,18,25,.720,10,31,3,8,2,20,19
W,90,73,32,62,.516,9,23,.391,17,27,.630,9,33,20,10,2,14,19,26,60,.433,9,24,.375,12,16,.750,8,32,18,6,4,21,23
W,98,79,39,71,.549,11,26,.423,9,12,.750,15,34,19,7,4,10,17,28,62,.452,9,18,.500,14,17,.824,10,24,15,6,1,13,13
W,113,78,42,80,.525,14,38,.368,15,22,.682,15,48,23,7,10,14,20,26,78,.333,13,38,.342,13,21,.619,15,35,17,8,2,16,18
W,78,73,26,58,.448,6,16,.375,20,32,.625,11,28,14,12,5,9,24,26,64,.406,5,17,.294,16,20,.800,12,34,7,3,2,13,24
W,83,66,28,72,.389,7,23,.304,20,24,.833,17,42,9,8,3,11,19,21,58,.362,6,25,.240,18,25,.720,9,32,7,3,6,16,20
W,96,71,34,59,.576,11,24,.458,17,20,.850,4,33,19,6,9,14,16,29,72,.403,3,18,.167,10,15,.667,14,32,8,8,2,10,20
W,72,53,26,58,.448,7,21,.333,13,24,.542,10,43,11,9,5,13,14,21,59,.356,7,22,.318,4,8,.500,6,35,12,4,0,19,20
L,70,71,24,58,.414,6,15,.400,16,24,.667,15,39,12,10,7,22,15,27,70,.386,9,28,.321,8,10,.800,12,33,17,10,3,16,20
W,69,58,27,52,.519,5,19,.263,10,17,.588,4,23,21,10,6,11,11,21,58,.362,8,19,.421,8,10,.800,13,36,8,5,1,19,14
W,98,45,37,66,.561,19,36,.528,5,6,.833,6,40,27,6,5,16,8,18,61,.295,4,24,.167,5,6,.833,6,26,10,9,0,20,7
L,93,100,31,69,.449,15,32,.469,16,22,.727,8,33,22,3,2,11,22,39,83,.470,8,30,.267,14,25,.560,22,51,19,6,5,8,21
W,81,80,28,57,.491,11,29,.379,14,22,.636,7,33,10,4,5,15,9,31,77,.403,11,29,.379,7,9,.778,14,38,18,8,1,7,18
L,74,80,25,69,.362,5,24,.208,17,26,.654,21,44,10,11,5,15,22,26,51,.510,5,16,.313,23,32,.719,4,29,15,6,2,15,20
L,69,73,26,65,.400,8,24,.333,9,13,.692,16,42,11,4,4,14,15,27,64,.422,8,24,.333,11,15,.733,12,33,16,5,8,8,14
W (2 OT),101,90,33,82,.402,11,32,.344,24,34,.706,22,45,23,8,5,14,25,26,67,.388,8,17,.471,30,38,.789,12,39,8,10,2,19,27
L,75,81,27,80,.338,5,26,.192,16,18,.889,18,46,11,3,1,10,22,26,56,.464,9,23,.391,20,25,.800,4,36,16,4,8,12,18
W,91,82,31,58,.534,9,20,.450,20,26,.769,8,35,16,6,1,10,16,32,60,.533,10,29,.345,8,15,.533,4,23,19,4,1,13,20
W,88,77,32,54,.593,5,13,.385,19,23,.826,4,22,15,7,4,12,23,24,58,.414,5,16,.313,24,30,.800,15,32,11,6,3,16,20
W (1 OT),103,94,33,55,.600,9,19,.474,28,39,.718,7,35,16,2,2,7,15,34,68,.500,17,34,.500,9,13,.692,8,28,17,4,3,7,25
L,72,76,27,61,.443,6,21,.286,12,20,.600,13,32,13,7,5,9,22,25,53,.472,8,19,.421,18,28,.643,9,29,15,5,7,11,17
W,80,76,27,60,.450,5,13,.385,21,31,.677,7,40,11,6,5,12,21,25,59,.424,9,21,.429,17,26,.654,6,34,12,6,6,12,22
L,55,59,18,45,.400,6,20,.300,13,19,.684,6,28,11,0,2,11,15,22,55,.400,7,17,.412,8,10,.800,6,24,8,4,1,6,18
L,69,84,26,64,.406,9,26,.346,8,13,.615,11,32,12,4,5,12,19,27,55,.491,10,26,.385,20,24,.833,5,34,11,4,2,9,15
W (1 OT),81,79,32,61,.525,5,19,.263,12,20,.600,7,28,14,9,5,17,21,28,61,.459,10,26,.385,13,18,.722,5,27,12,9,2,21,17
W,88,75,26,47,.553,7,19,.368,29,40,.725,6,29,15,5,3,8,21,24,48,.500,12,23,.522,15,22,.682,3,20,13,3,1,12,31
L,72,92,27,56,.482,0,15,.000,18,25,.720,7,28,13,6,7,14,19,33,66,.500,13,22,.591,13,17,.765,10,31,18,7,3,9,21
L,63,76,21,50,.420,9,23,.391,12,19,.632,6,27,9,5,7,12,24,23,57,.404,10,26,.385,20,26,.769,10,37,13,5,2,8,17
W,85,76,31,62,.500,7,25,.280,16,23,.696,8,38,17,9,8,16,18,26,65,.400,12,28,.429,12,15,.800,8,35,14,3,2,18,21
