W,90,50,36,76,.474,10,35,.286,8,16,.500,16,40,23,15,4,7,12,19,53,.358,7,20,.350,5,6,.833,6,31,12,5,2,21,15
W,75,54,29,63,.460,11,34,.324,6,8,.750,6,29,18,11,1,12,20,15,42,.357,8,23,.348,16,26,.615,7,35,11,9,2,23,10
L,72,77,24,53,.453,8,21,.381,16,22,.727,9,30,9,5,1,16,30,23,52,.442,9,27,.333,22,30,.733,8,30,13,5,6,13,22
W,68,50,25,54,.463,10,15,.667,8,14,.571,7,24,10,10,3,11,18,16,45,.356,8,24,.333,10,14,.714,7,30,11,2,3,21,12
L,56,71,20,54,.370,4,20,.200,12,18,.667,7,21,5,9,3,11,21,20,43,.465,11,22,.500,20,22,.909,7,32,11,2,4,17,18
W,70,59,24,62,.387,8,21,.381,14,21,.667,9,34,13,5,2,9,20,18,58,.310,3,21,.143,20,24,.833,13,37,7,5,7,17,23
W,63,53,22,57,.386,7,24,.292,12,17,.706,7,34,10,10,9,12,23,18,54,.333,7,21,.333,10,20,.500,8,33,10,4,1,16,13
L (1 OT),74,77,27,53,.509,9,22,.409,11,18,.611,2,27,12,7,7,12,15,27,61,.443,14,26,.538,9,13,.692,7,31,21,3,3,12,17
W,71,68,23,55,.418,5,20,.250,20,26,.769,7,30,9,9,6,14,17,21,58,.362,5,22,.227,21,26,.808,13,39,10,11,5,15,21
W,90,70,35,68,.515,10,22,.455,10,16,.625,6,36,19,6,8,12,18,27,64,.422,12,28,.429,4,9,.444,3,25,16,6,2,15,20
L (1 OT),83,88,27,58,.466,11,22,.500,18,27,.667,7,28,13,7,2,13,27,26,53,.491,10,32,.313,26,38,.684,11,39,15,5,2,16,18
W,71,63,25,57,.439,16,25,.640,5,7,.714,9,29,20,8,4,12,13,22,55,.400,11,29,.379,8,11,.727,13,29,19,4,5,15,15
W,71,48,32,53,.604,3,14,.214,4,7,.571,2,35,13,9,5,10,18,16,53,.302,6,27,.222,10,18,.556,8,28,9,4,1,10,7
L,64,86,25,63,.397,7,23,.304,7,13,.538,7,21,10,12,5,14,16,29,55,.527,12,24,.500,16,21,.762,8,39,21,6,7,21,14
L,66,68,24,59,.407,11,31,.355,7,11,.636,5,22,13,10,5,6,15,21,53,.396,7,24,.292,19,25,.760,12,42,14,4,4,14,10
W,73,64,20,49,.408,10,27,.370,23,33,.697,13,34,13,8,8,17,10,25,60,.417,9,17,.529,5,7,.714,9,28,16,9,2,14,25
W,79,75,26,58,.448,10,26,.385,17,26,.654,8,32,11,2,2,8,15,26,58,.448,9,25,.360,14,18,.778,8,33,10,2,3,13,19
W,71,58,28,59,.475,6,15,.400,9,15,.600,4,31,11,9,6,9,13,21,59,.356,9,27,.333,7,11,.636,9,37,10,5,0,14,15
W,72,58,23,55,.418,14,30,.467,12,16,.750,8,32,15,6,2,9,16,19,56,.339,7,22,.318,13,18,.722,10,35,12,4,2,15,18
W,83,66,29,57,.509,13,27,.481,12,16,.750,4,34,17,4,7,7,18,24,71,.338,11,30,.367,7,15,.467,19,43,13,2,2,9,16
W,81,75,30,68,.441,7,23,.304,14,19,.737,11,31,16,7,8,9,14,27,68,.397,12,33,.364,9,15,.600,16,40,18,4,9,17,20
W,54,50,23,47,.489,4,16,.250,4,9,.444,5,28,10,5,6,16,10,20,57,.351,2,16,.125,8,8,1.000,11,32,8,11,2,10,11
W,77,66,29,52,.558,10,24,.417,9,14,.643,9,33,15,6,6,11,22,22,61,.361,4,25,.160,18,27,.667,19,35,7,8,2,10,16
W,81,51,27,51,.529,15,28,.536,12,19,.632,7,34,20,3,5,17,15,18,49,.367,8,20,.400,7,18,.389,6,24,10,4,3,17,14
W,106,92,37,68,.544,12,27,.444,20,23,.870,11,36,19,4,6,11,20,30,70,.429,12,31,.387,20,29,.690,17,33,23,5,5,7,15
L (1 OT),82,90,28,66,.424,8,32,.250,18,25,.720,8,31,10,7,1,4,15,34,60,.567,17,38,.447,5,8,.625,5,36,23,2,1,13,21
L,80,85,29,61,.475,5,19,.263,17,30,.567,15,38,7,5,2,13,25,25,53,.472,10,27,.370,25,37,.676,11,32,11,7,4,11,22
W,77,50,28,57,.491,10,24,.417,11,13,.846,7,34,14,7,6,8,21,13,48,.271,8,24,.333,16,30,.533,7,27,11,4,5,10,19
L,81,89,30,68,.441,15,37,.405,6,18,.333,3,27,16,10,3,9,24,26,56,.464,14,32,.438,23,34,.676,8,44,23,3,6,14,16
L,70,83,26,59,.441,10,27,.370,8,11,.727,5,29,10,5,9,13,15,25,59,.424,12,26,.462,21,26,.808,9,36,16,3,1,12,13
W,90,75,29,62,.468,12,23,.522,20,26,.769,11,38,11,6,6,6,23,22,62,.355,10,33,.303,21,27,.778,10,32,10,3,6,8,23
