W,98,83,32,68,.471,8,26,.308,26,38,.684,11,43,20,6,6,11,18,30,70,.429,11,26,.423,12,19,.632,8,34,16,4,8,12,27
W,77,70,20,50,.400,7,21,.333,30,40,.750,15,35,15,4,6,21,24,22,54,.407,3,15,.200,23,26,.885,11,29,11,5,2,16,29
L,64,86,23,70,.329,7,27,.259,11,19,.579,12,40,10,5,4,14,23,34,57,.596,6,18,.333,12,32,.375,5,40,17,9,10,13,17
L,57,80,17,58,.293,2,23,.087,21,26,.808,9,33,3,4,0,16,27,29,57,.509,3,16,.188,19,33,.576,7,34,6,5,8,12,21
W,75,67,27,54,.500,7,21,.333,14,20,.700,6,34,13,6,0,18,21,25,56,.446,6,20,.300,11,18,.611,6,30,14,7,2,16,20
W,74,66,27,57,.474,10,20,.500,10,15,.667,4,38,15,6,5,13,16,21,60,.350,10,33,.303,14,20,.700,8,33,13,7,2,13,16
L,80,86,31,61,.508,5,23,.217,13,24,.542,7,31,12,9,3,18,33,23,53,.434,3,17,.176,37,49,.755,7,32,11,7,1,17,23
W (1 OT),95,86,28,56,.500,12,25,.480,27,35,.771,6,32,18,7,7,19,21,30,64,.469,8,23,.348,18,27,.667,8,36,13,7,4,21,26
W,69,54,25,60,.417,9,22,.409,10,14,.714,8,34,10,8,3,15,19,18,53,.340,6,31,.194,12,16,.750,6,31,8,5,6,20,20
L,71,81,25,63,.397,7,20,.350,14,17,.824,9,34,12,5,4,14,23,25,59,.424,7,22,.318,24,30,.800,7,34,22,5,9,15,20
W,100,68,39,85,.459,11,32,.344,11,21,.524,18,47,23,12,4,5,14,24,57,.421,9,22,.409,11,18,.611,8,39,14,3,1,26,20
W,67,65,20,52,.385,3,20,.150,24,31,.774,9,34,14,8,2,29,14,25,62,.403,6,21,.286,9,11,.818,7,29,7,15,4,24,27
W,73,64,24,54,.444,6,21,.286,19,26,.731,6,29,16,7,5,13,19,24,58,.414,5,18,.278,11,19,.579,10,35,15,5,0,17,25
L,66,98,24,62,.387,10,25,.400,8,15,.533,8,28,15,2,1,10,19,35,67,.522,12,27,.444,16,22,.727,15,49,18,5,9,11,16
W,99,53,32,69,.464,16,45,.356,19,29,.655,12,60,27,6,6,11,19,19,72,.264,4,17,.235,11,21,.524,8,32,7,4,2,8,23
W,86,71,28,59,.475,12,31,.387,18,24,.750,12,38,17,3,4,16,15,28,59,.475,2,11,.182,13,19,.684,6,26,13,9,4,12,20
L,96,102,36,84,.429,8,29,.276,16,20,.800,16,48,11,4,2,12,22,32,68,.471,14,27,.519,24,31,.774,7,36,13,6,8,14,20
L,69,87,24,63,.381,4,26,.154,17,23,.739,8,31,7,11,1,18,23,32,51,.627,7,15,.467,16,30,.533,2,32,19,11,4,20,19
L,83,88,28,61,.459,11,26,.423,16,27,.593,9,30,16,7,0,13,26,29,53,.547,9,20,.450,21,29,.724,5,31,17,6,3,16,21
W,85,82,29,63,.460,10,28,.357,17,24,.708,9,33,16,1,2,12,15,29,63,.460,11,24,.458,13,15,.867,7,29,14,4,7,10,18
W,92,78,33,60,.550,4,20,.200,22,31,.710,11,42,16,5,1,19,16,27,66,.409,6,18,.333,18,28,.643,10,30,18,7,1,16,25
W (1 OT),86,79,26,56,.464,5,13,.385,29,34,.853,5,34,15,5,2,16,19,30,61,.492,8,26,.308,11,19,.579,6,32,16,12,6,14,25
W (2 OT),110,106,34,75,.453,8,27,.296,34,47,.723,9,46,19,4,5,13,26,35,91,.385,9,38,.237,27,31,.871,16,49,12,8,8,8,31
L,77,81,28,66,.424,6,17,.353,15,22,.682,16,44,16,4,4,12,26,28,57,.491,10,19,.526,15,24,.625,6,29,11,7,5,11,19
W,82,59,28,58,.483,10,23,.435,16,22,.727,10,39,12,8,4,15,16,23,59,.390,5,18,.278,8,12,.667,6,24,8,3,2,11,21
W,82,75,33,74,.446,4,20,.200,12,18,.667,12,33,22,13,1,3,12,28,53,.528,11,24,.458,8,11,.727,3,32,17,1,10,18,17
W,82,73,27,50,.540,8,23,.348,20,27,.741,3,37,15,5,8,15,17,27,68,.397,9,23,.391,10,15,.667,8,29,14,10,3,10,23
W,90,87,33,58,.569,8,21,.381,16,21,.762,8,31,14,5,1,23,22,30,62,.484,6,24,.250,21,27,.778,8,25,11,19,3,15,22
W,83,74,29,53,.547,7,24,.292,18,25,.720,10,27,19,9,0,12,16,29,51,.569,5,10,.500,11,14,.786,4,20,16,6,1,14,19
W,89,73,32,69,.464,14,32,.438,11,15,.733,10,36,22,7,1,11,20,24,55,.436,6,24,.250,19,28,.679,9,37,12,9,4,18,18
W,77,62,27,59,.458,9,28,.321,14,14,1.000,5,29,19,9,3,9,17,23,55,.418,7,21,.333,9,11,.818,8,31,9,5,5,18,17
W,108,96,32,49,.653,12,26,.462,32,47,.681,5,33,24,12,5,18,20,29,71,.408,16,40,.400,22,28,.786,18,36,13,9,0,18,30
