W,84,80,28,51,.549,7,20,.350,21,32,.656,7,29,18,10,3,19,20,26,54,.481,9,20,.450,19,25,.760,8,27,16,9,2,20,25
W,96,69,37,71,.521,11,31,.355,11,16,.688,11,43,26,6,6,8,8,26,67,.388,12,29,.414,5,6,.833,6,29,16,4,4,12,14
W,66,56,22,45,.489,5,17,.294,17,23,.739,6,32,12,4,4,16,17,16,55,.291,9,30,.300,15,19,.789,10,31,6,7,4,14,20
W,88,67,29,47,.617,11,23,.478,19,26,.731,4,28,18,2,3,9,16,24,60,.400,7,27,.259,12,16,.750,11,27,12,5,0,9,20
W,63,50,22,44,.500,5,16,.313,14,18,.778,3,32,16,3,5,16,18,20,59,.339,2,12,.167,8,14,.571,12,29,6,8,2,11,20
W,102,78,36,60,.600,10,18,.556,20,26,.769,5,34,18,8,0,14,15,29,69,.420,8,26,.308,12,20,.600,12,32,18,7,4,16,19
W,75,60,27,53,.509,12,22,.545,9,12,.750,7,37,17,4,0,15,15,21,58,.362,8,22,.364,10,16,.625,9,28,11,6,2,8,19
L,53,87,21,57,.368,5,16,.313,6,10,.600,3,23,9,5,4,13,11,33,62,.532,16,28,.571,5,6,.833,7,40,17,8,5,15,13
W,85,61,34,62,.548,8,14,.571,9,16,.563,3,29,29,8,0,9,14,23,49,.469,4,14,.286,11,19,.579,3,27,7,4,7,19,14
W,65,59,26,50,.520,6,12,.500,7,9,.778,5,29,14,6,4,13,12,24,65,.369,2,19,.105,9,14,.643,16,32,7,9,3,8,14
W,80,52,25,35,.714,10,13,.769,20,29,.690,5,32,16,3,1,20,13,19,58,.328,7,22,.318,7,13,.538,10,18,11,13,1,12,23
L,56,73,20,52,.385,4,19,.211,12,16,.750,4,31,9,4,4,12,15,26,53,.491,9,22,.409,12,18,.667,2,29,13,8,7,7,12
L,59,64,23,52,.442,3,15,.200,10,14,.714,6,26,9,5,3,10,17,22,51,.431,8,19,.421,12,21,.571,6,29,12,6,3,12,18
W,66,59,22,44,.500,6,15,.400,16,22,.727,1,23,14,7,5,13,12,23,52,.442,5,14,.357,8,12,.667,5,29,6,10,3,13,22
L,57,61,19,45,.422,8,14,.571,11,15,.733,5,28,8,4,5,16,10,26,57,.456,5,16,.313,4,6,.667,7,28,11,4,6,12,15
W,56,50,19,54,.352,9,22,.409,9,13,.692,8,30,11,9,3,7,15,19,52,.365,6,20,.300,6,8,.750,10,34,13,2,5,12,16
W,68,61,23,44,.523,6,17,.353,16,18,.889,3,23,13,7,4,14,12,23,49,.469,10,21,.476,5,10,.500,5,21,13,9,1,17,16
W,81,65,30,52,.577,5,17,.294,16,21,.762,8,34,16,3,4,10,13,23,59,.390,9,23,.391,10,12,.833,8,23,16,4,3,11,18
W,79,65,27,48,.563,6,15,.400,19,27,.704,7,31,15,13,1,19,19,24,56,.429,2,13,.154,15,20,.750,9,26,11,12,3,20,24
W,70,54,27,55,.491,6,14,.429,10,14,.714,6,30,16,8,1,8,15,21,47,.447,3,14,.214,9,14,.643,5,24,6,4,4,13,16
W,80,57,34,60,.567,8,19,.421,4,8,.500,1,29,21,7,1,6,14,23,53,.434,4,20,.200,7,12,.583,3,27,8,2,3,14,13
W,70,47,25,49,.510,7,14,.500,13,13,1.000,4,32,14,8,0,8,12,19,52,.365,4,21,.190,5,8,.625,7,24,8,5,3,11,14
L,67,69,22,49,.449,9,22,.409,14,20,.700,7,26,15,10,1,13,19,24,50,.480,6,15,.400,15,19,.789,9,33,20,5,4,16,20
W,97,75,39,64,.609,10,20,.500,9,11,.818,7,32,24,8,2,9,13,27,53,.509,9,21,.429,12,16,.750,4,22,14,4,2,12,15
W,72,57,30,60,.500,8,22,.364,4,5,.800,5,34,21,5,3,9,13,21,61,.344,5,19,.263,10,12,.833,9,33,12,6,2,9,9
W,75,71,24,45,.533,9,20,.450,18,23,.783,3,24,15,11,1,16,15,24,59,.407,10,27,.370,13,15,.867,12,32,11,10,0,16,18
W,80,71,30,56,.536,5,15,.333,15,19,.789,7,27,14,5,2,5,16,24,55,.436,5,16,.313,18,20,.900,9,30,14,3,5,10,15
W,76,66,25,43,.581,9,19,.474,17,23,.739,4,29,12,6,3,18,14,23,53,.434,5,15,.333,15,17,.882,3,20,12,7,1,11,16
W,75,56,31,54,.574,9,22,.409,4,5,.800,5,26,18,9,1,10,14,20,47,.426,6,19,.316,10,18,.556,9,27,13,8,1,14,8
W,68,61,26,61,.426,7,27,.259,9,14,.643,12,34,17,12,0,12,9,23,55,.418,12,30,.400,3,4,.750,8,32,14,7,2,20,16
W,54,50,23,52,.442,4,17,.235,4,7,.571,2,23,14,5,4,7,8,20,51,.392,4,16,.250,6,7,.857,5,32,11,2,3,10,14
W,62,54,21,47,.447,9,27,.333,11,17,.647,3,27,16,8,3,9,17,18,44,.409,5,16,.313,13,19,.684,5,31,9,5,2,15,19
W,65,49,22,53,.415,9,24,.375,12,19,.632,9,37,15,6,1,8,5,21,66,.318,5,25,.200,2,4,.500,14,38,14,7,4,6,17
