W (1 OT),102,91,34,69,.493,11,38,.289,23,34,.676,14,31,21,7,1,12,18,34,64,.531,11,26,.423,12,15,.800,9,31,16,4,0,21,29
W,83,74,30,62,.484,11,27,.407,12,14,.857,4,32,20,5,8,11,17,26,68,.382,10,25,.400,12,21,.571,13,40,13,8,2,12,15
L,83,86,27,59,.458,7,21,.333,22,30,.733,5,24,14,11,7,11,22,30,65,.462,7,18,.389,19,24,.792,17,48,15,4,7,20,26
L,74,91,24,56,.429,10,29,.345,16,26,.615,6,34,14,1,3,19,21,34,77,.442,7,15,.467,16,26,.615,14,41,19,8,0,5,22
W,92,84,33,61,.541,11,28,.393,15,21,.714,4,28,20,4,6,10,12,33,62,.532,12,25,.480,6,12,.500,6,28,19,2,1,12,17
W,106,70,36,71,.507,9,30,.300,25,32,.781,11,49,26,15,6,15,13,25,73,.342,14,31,.452,6,13,.462,7,33,15,6,1,22,21
L,104,114,37,71,.521,12,27,.444,18,19,.947,7,28,18,7,4,12,17,42,70,.600,18,28,.643,12,14,.857,8,33,25,7,5,13,17
W,86,64,30,64,.469,10,29,.345,16,20,.800,16,41,17,10,5,20,19,24,63,.381,6,24,.250,10,19,.526,10,30,9,11,2,22,19
W,70,66,29,64,.453,1,16,.063,11,17,.647,4,28,7,4,11,12,18,22,61,.361,7,20,.350,15,17,.882,11,43,8,5,5,18,17
W,93,87,34,68,.500,6,19,.316,19,29,.655,12,34,8,8,6,10,22,29,61,.475,5,17,.294,24,28,.857,11,38,20,6,5,17,24
W (1 OT),99,96,31,63,.492,10,29,.345,27,31,.871,3,37,22,7,12,16,18,36,83,.434,10,30,.333,14,18,.778,11,39,14,8,1,13,21
L,77,81,27,69,.391,11,35,.314,12,16,.750,7,29,19,8,3,12,22,27,59,.458,4,18,.222,23,26,.885,9,44,15,4,1,18,16
W,91,71,34,55,.618,11,25,.440,12,16,.750,7,36,23,6,12,19,15,29,74,.392,5,23,.217,8,10,.800,13,28,17,15,1,11,19
W,85,66,31,67,.463,10,32,.313,13,18,.722,13,43,22,8,7,16,10,29,59,.492,3,12,.250,5,14,.357,4,23,12,13,4,15,17
W,78,65,25,57,.439,8,20,.400,20,23,.870,4,30,15,7,7,12,16,23,56,.411,6,16,.375,13,20,.650,9,34,14,7,2,19,20
L,87,112,28,70,.400,18,37,.486,13,18,.722,6,25,25,6,8,7,19,45,72,.625,7,14,.500,15,27,.556,12,44,28,3,9,12,20
W,91,83,32,67,.478,9,31,.290,18,21,.857,7,31,15,9,3,14,22,29,67,.433,5,16,.313,20,29,.690,14,40,7,6,2,17,19
L,76,82,24,60,.400,9,27,.333,19,21,.905,6,29,15,4,3,10,20,28,61,.459,4,13,.308,22,31,.710,11,40,16,5,5,10,18
W,73,63,22,48,.458,10,23,.435,19,28,.679,5,29,18,9,9,16,17,25,62,.403,5,14,.357,8,13,.615,11,34,15,4,2,19,23
W (1 OT),86,78,27,72,.375,14,37,.378,18,18,1.000,4,39,19,10,6,15,15,33,74,.446,7,23,.304,5,13,.385,10,43,26,6,7,16,15
L,74,85,26,64,.406,10,32,.313,12,14,.857,5,29,14,5,5,12,27,30,63,.476,5,13,.385,20,26,.769,8,41,10,5,4,13,18
L,77,81,29,63,.460,8,25,.320,11,17,.647,3,33,14,10,7,14,14,35,81,.432,7,22,.318,4,12,.333,19,53,12,8,0,13,16
W,74,65,25,59,.424,10,35,.286,14,20,.700,6,34,12,9,2,13,14,24,59,.407,6,21,.286,11,16,.688,7,35,9,5,2,17,19
W,76,66,28,58,.483,10,30,.333,10,14,.714,8,44,16,2,8,19,19,25,68,.368,4,16,.250,12,26,.462,11,31,9,11,4,5,15
W,79,68,28,66,.424,12,37,.324,11,14,.786,13,45,22,4,7,15,11,25,73,.342,7,15,.467,11,14,.786,13,38,18,9,1,10,18
W,93,80,34,60,.567,13,24,.542,12,17,.706,4,34,19,3,4,9,19,29,69,.420,9,30,.300,13,19,.684,11,34,12,6,2,9,15
W,74,72,28,52,.538,7,21,.333,11,18,.611,1,22,15,6,7,9,14,30,61,.492,6,15,.400,6,11,.545,9,31,11,3,0,10,18
L,79,84,30,55,.545,7,23,.304,12,14,.857,3,24,21,6,9,18,16,31,72,.431,10,24,.417,12,16,.750,14,35,13,12,3,13,17
W,103,75,39,72,.542,16,38,.421,9,13,.692,6,35,24,9,6,7,15,28,67,.418,5,20,.250,14,17,.824,11,39,15,5,0,13,12
L,77,91,28,64,.438,13,35,.371,8,13,.615,6,28,14,7,7,14,17,36,74,.486,8,21,.381,11,15,.733,15,47,23,7,5,12,14
W,76,67,25,53,.472,4,22,.182,22,27,.815,4,37,11,5,2,13,20,25,60,.417,4,18,.222,13,26,.500,8,31,12,4,1,11,20
