L,67,78,21,50,.420,8,25,.320,17,24,.708,7,28,11,6,1,12,26,22,47,.468,8,23,.348,26,35,.743,11,33,14,4,6,11,22
L,78,103,26,62,.419,14,28,.500,12,16,.750,6,22,14,6,0,10,15,39,64,.609,15,28,.536,10,14,.714,9,41,25,8,6,13,16
W,93,62,28,53,.528,11,27,.407,26,37,.703,9,40,16,8,4,20,22,21,57,.368,6,19,.316,14,23,.609,8,24,9,10,1,18,30
L,88,93,33,61,.541,14,25,.560,8,10,.800,5,30,16,7,1,14,18,34,60,.567,15,28,.536,10,16,.625,4,25,16,9,5,10,16
W,84,73,26,64,.406,14,30,.467,18,30,.600,12,27,21,10,6,11,18,29,56,.518,3,8,.375,12,14,.857,12,40,12,6,1,21,26
W,89,88,31,59,.525,10,21,.476,17,29,.586,7,31,16,7,1,13,16,34,65,.523,15,34,.441,5,9,.556,7,33,19,10,4,16,27
W,88,59,32,66,.485,13,34,.382,11,19,.579,15,38,25,10,1,19,19,21,55,.382,8,25,.320,9,12,.750,9,27,13,8,3,24,23
L,70,81,22,56,.393,11,26,.423,15,24,.625,11,29,13,3,2,17,15,30,58,.517,10,26,.385,11,17,.647,8,30,15,7,5,18,25
W,98,72,36,76,.474,16,42,.381,10,16,.625,18,52,24,5,4,14,23,24,69,.348,6,29,.207,18,29,.621,13,35,15,9,1,10,18
W,81,60,28,58,.483,16,33,.485,9,16,.563,10,29,15,10,3,10,10,23,55,.418,7,23,.304,7,10,.700,11,32,10,5,1,15,19
L,65,78,20,69,.290,10,31,.323,15,20,.750,13,30,14,6,1,12,18,27,60,.450,9,25,.360,15,17,.882,11,43,13,3,9,16,24
W,81,74,24,60,.400,14,34,.412,19,25,.760,11,41,20,3,2,14,10,28,62,.452,9,24,.375,9,16,.563,7,34,13,11,0,12,23
W,76,75,25,60,.417,10,23,.435,16,20,.800,9,29,12,7,1,9,14,27,56,.482,9,23,.391,12,16,.750,8,29,18,7,4,12,18
L,45,66,19,65,.292,7,38,.184,0,1,.000,5,33,10,7,2,12,16,21,55,.382,10,24,.417,14,17,.824,8,43,11,5,4,15,12
W,85,41,32,62,.516,17,34,.500,4,8,.500,8,36,23,9,1,9,9,15,45,.333,5,23,.217,6,12,.500,3,25,6,5,2,18,10
W,71,67,24,60,.400,8,21,.381,15,22,.682,8,30,8,13,3,9,17,22,53,.415,11,27,.407,12,15,.800,8,38,9,1,3,18,21
L,56,71,20,55,.364,11,31,.355,5,7,.714,6,25,15,4,5,10,17,26,56,.464,6,18,.333,13,20,.650,11,40,11,6,4,10,15
W,72,67,24,57,.421,7,26,.269,17,29,.586,10,35,8,10,3,15,15,23,62,.371,7,22,.318,14,18,.778,13,39,9,10,2,19,23
W,89,62,33,57,.579,16,25,.640,7,13,.538,7,38,20,6,3,13,23,20,58,.345,8,29,.276,14,27,.519,13,34,11,6,3,10,16
W,78,56,29,58,.500,12,29,.414,8,9,.889,6,30,17,5,0,8,18,19,55,.345,6,25,.240,12,20,.600,12,33,12,5,3,12,17
L,39,83,17,54,.315,2,20,.100,3,7,.429,4,19,12,6,4,15,14,33,57,.579,9,17,.529,8,10,.800,6,36,20,8,2,11,14
W,69,57,26,51,.510,9,23,.391,8,14,.571,4,28,20,9,1,12,16,22,57,.386,5,20,.250,8,17,.471,13,37,9,9,0,14,18
W,86,74,33,63,.524,11,26,.423,9,18,.500,12,32,18,16,4,15,12,29,56,.518,6,16,.375,10,14,.714,8,30,13,9,0,23,19
W,67,63,25,59,.424,5,21,.238,12,19,.632,5,31,12,10,2,10,14,23,54,.426,7,26,.269,10,18,.556,5,35,12,6,4,17,19
L,53,81,18,50,.360,6,22,.273,11,18,.611,6,18,9,7,3,10,18,29,44,.659,8,17,.471,15,18,.833,2,28,19,6,0,13,20
W,78,68,29,59,.492,8,22,.364,12,14,.857,6,30,18,6,6,5,15,26,62,.419,8,24,.333,8,12,.667,12,38,16,0,2,11,15
W,68,59,24,44,.545,4,14,.286,16,24,.667,1,29,10,6,0,10,17,20,57,.351,9,28,.321,10,15,.667,8,27,12,5,1,10,19
W,68,60,24,49,.490,7,18,.389,13,15,.867,4,21,15,6,2,11,15,22,58,.379,8,23,.348,8,9,.889,13,32,9,3,2,14,15
L,57,64,21,62,.339,6,27,.222,9,16,.563,10,31,9,13,5,8,15,21,48,.438,9,20,.450,13,18,.722,6,35,15,6,3,18,16
W,83,75,31,68,.456,12,24,.500,9,14,.643,9,41,23,7,1,12,17,27,65,.415,5,22,.227,16,23,.696,10,37,16,5,3,12,15
W,62,53,21,50,.420,10,22,.455,10,18,.556,5,31,15,7,4,13,13,21,56,.375,8,28,.286,3,8,.375,8,31,12,11,4,16,16
W,89,77,33,65,.508,7,23,.304,16,26,.615,10,37,18,8,5,10,19,25,60,.417,7,23,.304,20,23,.870,7,36,16,6,2,13,20
