W,98,66,35,61,.574,3,12,.250,25,32,.781,13,45,22,12,10,21,21,23,66,.348,11,29,.379,9,15,.600,8,22,8,9,2,19,24
L,81,88,31,61,.508,9,25,.360,10,18,.556,8,30,25,1,12,17,21,30,76,.395,9,23,.391,19,29,.655,21,42,21,12,5,9,20
W,93,71,33,57,.579,5,15,.333,22,27,.815,11,40,20,5,7,14,20,24,59,.407,13,26,.500,10,15,.667,6,18,16,7,1,13,20
W,73,51,25,53,.472,10,23,.435,13,17,.765,8,37,17,5,1,14,26,13,51,.255,4,16,.250,21,27,.778,6,22,7,10,0,11,18
W,77,57,32,66,.485,8,18,.444,5,10,.500,11,38,12,3,4,8,16,20,57,.351,7,22,.318,10,11,.909,7,28,6,4,5,13,14
W,63,45,22,55,.400,10,26,.385,9,13,.692,10,44,16,7,7,22,23,15,61,.246,1,18,.056,14,24,.583,11,30,9,8,4,16,14
W,81,63,31,60,.517,9,21,.429,10,14,.714,13,39,21,4,6,13,14,24,54,.444,8,18,.444,7,10,.700,3,18,16,8,6,10,15
W,86,57,27,57,.474,5,19,.263,27,36,.750,11,45,16,1,11,6,16,17,62,.274,10,22,.455,13,20,.650,10,34,10,0,1,5,25
W,62,52,22,57,.386,8,21,.381,10,16,.625,12,40,15,4,13,14,17,17,66,.258,4,15,.267,14,18,.778,17,39,7,3,5,10,21
W,88,63,28,59,.475,9,19,.474,23,31,.742,14,48,24,6,12,11,12,21,65,.323,11,26,.423,10,16,.625,10,30,13,8,0,9,24
W,86,73,31,60,.517,9,23,.391,15,23,.652,14,43,18,7,6,17,16,22,62,.355,10,27,.370,19,23,.826,6,24,15,11,3,13,22
W,107,62,36,56,.643,10,20,.500,25,33,.758,10,42,30,4,16,14,22,21,74,.284,4,19,.211,16,23,.696,20,35,9,7,2,13,29
W,102,60,39,64,.609,13,29,.448,11,13,.846,12,35,28,9,10,11,15,24,59,.407,4,14,.286,8,11,.727,9,22,15,4,1,16,16
W,111,61,41,63,.651,15,26,.577,14,18,.778,15,47,29,1,4,11,18,19,58,.328,11,37,.297,12,16,.750,6,14,9,6,1,7,16
W,108,52,44,70,.629,8,22,.364,12,22,.545,14,57,35,6,7,17,14,18,69,.261,10,42,.238,6,11,.545,6,23,13,9,3,17,24
W,91,61,32,56,.571,16,28,.571,11,15,.733,7,33,30,4,9,7,17,20,53,.377,8,20,.400,13,15,.867,8,26,12,2,0,12,17
L,64,80,23,59,.390,7,25,.280,11,13,.846,9,33,13,3,1,11,17,31,59,.525,7,15,.467,11,17,.647,4,30,15,6,4,6,18
W (1 OT),76,72,21,51,.412,9,19,.474,25,34,.735,7,36,19,3,8,13,19,27,67,.403,5,18,.278,13,15,.867,9,39,12,6,1,9,29
L,72,82,21,46,.457,3,13,.231,27,32,.844,8,32,13,3,8,17,26,24,57,.421,6,15,.400,28,35,.800,8,27,13,6,4,7,25
W,85,57,32,59,.542,10,20,.500,11,17,.647,11,44,23,2,7,13,14,20,59,.339,8,26,.308,9,14,.643,8,27,9,4,2,9,18
W,87,74,30,44,.682,4,9,.444,23,28,.821,9,37,15,5,9,25,18,28,65,.431,8,28,.286,10,14,.714,7,12,12,8,2,10,26
W,76,61,27,54,.500,8,19,.421,14,16,.875,9,34,19,2,9,12,19,21,58,.362,5,24,.208,14,16,.875,7,23,10,7,3,9,19
W,74,68,25,63,.397,5,21,.238,19,23,.826,16,40,11,6,7,9,19,24,56,.429,7,17,.412,13,19,.684,7,26,12,1,4,8,22
W,76,68,24,48,.500,8,17,.471,20,25,.800,4,38,18,5,7,15,14,26,69,.377,7,24,.292,9,11,.818,8,28,13,10,3,8,21
W,63,60,23,47,.489,9,18,.500,8,17,.471,3,26,15,3,13,11,24,19,66,.288,4,19,.211,18,25,.720,21,49,13,6,2,8,18
W,96,93,32,57,.561,8,17,.471,24,29,.828,6,31,20,3,4,10,19,36,69,.522,9,20,.450,12,19,.632,8,27,26,6,3,6,22
W,68,65,29,60,.483,6,18,.333,4,6,.667,6,37,21,2,4,6,14,26,64,.406,6,19,.316,7,10,.700,7,30,16,2,3,3,12
W,87,57,32,60,.533,14,22,.636,9,14,.643,12,46,27,3,4,13,14,19,59,.322,8,22,.364,11,13,.846,4,19,10,8,1,8,16
W,65,60,20,46,.435,8,18,.444,17,21,.810,6,31,16,3,0,11,16,21,56,.375,9,23,.391,9,10,.900,8,26,14,4,2,6,22
W,81,61,24,51,.471,11,27,.407,22,26,.846,7,40,20,2,11,8,20,17,52,.327,6,16,.375,21,28,.750,6,25,13,6,3,4,22
W,68,63,23,53,.434,8,20,.400,14,18,.778,13,38,10,4,8,12,18,22,59,.373,5,18,.278,14,19,.737,10,25,7,4,1,4,16
W,63,60,24,56,.429,5,16,.313,10,11,.909,11,36,10,3,7,10,14,26,57,.456,6,17,.353,2,6,.333,8,24,12,2,3,6,17
L,64,75,24,63,.381,7,25,.280,9,10,.900,9,32,10,4,1,8,23,21,47,.447,9,25,.360,24,33,.727,4,34,10,5,1,8,13
