W,86,66,33,71,.465,9,25,.360,11,16,.688,12,35,21,12,2,10,12,22,50,.440,9,15,.600,13,17,.765,6,28,11,5,4,23,19
W,72,65,26,59,.441,10,34,.294,10,12,.833,6,25,14,5,3,4,11,22,51,.431,10,24,.417,11,12,.917,7,32,12,2,2,14,18
W,61,47,23,47,.489,8,23,.348,7,9,.778,8,31,13,5,3,9,10,20,49,.408,6,13,.462,1,3,.333,5,22,9,4,0,10,12
L,75,77,27,59,.458,6,23,.261,15,21,.714,13,27,12,6,1,7,20,27,46,.587,7,17,.412,16,23,.696,7,26,11,5,3,13,23
W,102,64,37,57,.649,15,28,.536,13,18,.722,6,32,22,9,6,8,12,24,63,.381,5,22,.227,11,16,.688,15,30,9,3,0,13,17
W,68,60,25,53,.472,5,20,.250,13,22,.591,7,32,10,6,4,10,14,25,56,.446,3,11,.273,7,11,.636,6,31,6,6,2,9,20
W,87,42,34,63,.540,13,28,.464,6,11,.545,10,42,24,10,7,11,6,18,60,.300,3,14,.214,3,6,.500,6,29,6,6,3,15,12
L,71,86,28,66,.424,10,34,.294,5,11,.455,9,27,16,8,6,10,16,34,62,.548,7,15,.467,11,16,.688,9,34,24,2,6,12,12
W,69,55,26,55,.473,11,31,.355,6,10,.600,4,32,16,5,3,10,15,22,55,.400,2,7,.286,9,14,.643,6,31,7,4,2,10,14
L,62,71,22,59,.373,8,28,.286,10,14,.714,11,31,13,5,0,8,20,22,45,.489,5,14,.357,22,29,.759,5,32,12,4,4,10,18
W (1 OT),78,69,30,64,.469,10,29,.345,8,22,.364,5,27,15,12,0,11,18,25,57,.439,4,18,.222,15,21,.714,7,39,13,2,3,20,19
W,59,52,22,55,.400,6,19,.316,9,12,.750,9,38,9,3,3,10,17,19,52,.365,5,20,.250,9,15,.600,4,27,6,5,4,10,17
W,90,58,34,72,.472,11,23,.478,11,19,.579,13,41,19,11,5,9,18,17,51,.333,5,16,.313,19,25,.760,7,35,6,4,3,23,20
W,97,47,36,60,.600,15,32,.469,10,18,.556,5,31,23,10,5,12,16,17,49,.347,4,17,.235,9,15,.600,7,28,8,4,1,23,18
W,76,51,31,55,.564,8,23,.348,6,9,.667,7,38,15,3,5,14,7,20,59,.339,6,16,.375,5,7,.714,7,23,8,6,4,9,12
W,75,68,28,57,.491,11,25,.440,8,10,.800,6,30,18,8,0,7,15,25,52,.481,6,15,.400,12,17,.706,6,30,16,4,4,13,14
W,79,69,26,51,.510,8,20,.400,19,24,.792,5,24,18,7,5,15,17,27,56,.482,3,14,.214,12,14,.857,9,30,13,7,4,17,22
L,69,70,26,58,.448,10,22,.455,7,11,.636,9,34,9,2,2,9,10,27,57,.474,12,21,.571,4,7,.571,8,29,14,5,3,8,14
W,82,72,24,57,.421,6,15,.400,28,35,.800,8,27,13,6,4,7,25,21,46,.457,3,13,.231,27,32,.844,8,32,13,3,8,17,26
W,68,67,25,61,.410,11,26,.423,7,12,.583,6,29,14,2,6,6,15,25,52,.481,8,20,.400,9,14,.643,3,31,8,3,4,12,17
L,52,72,21,56,.375,4,18,.222,6,10,.600,14,32,6,4,2,12,19,26,47,.553,5,11,.455,15,23,.652,7,28,12,9,4,9,14
W,62,47,23,54,.426,8,25,.320,8,11,.727,5,31,16,4,2,9,15,17,51,.333,2,9,.222,11,15,.733,7,31,1,4,1,13,18
L,88,92,35,58,.603,13,23,.565,5,9,.556,7,21,14,5,3,11,20,31,50,.620,11,20,.550,19,23,.826,4,18,22,7,6,10,11
W,58,47,21,50,.420,7,25,.280,9,14,.643,4,28,13,8,1,5,13,18,47,.383,4,16,.250,7,10,.700,5,31,7,2,1,16,20
W (1 OT),76,73,28,63,.444,8,32,.250,12,28,.429,10,38,12,1,2,6,16,28,63,.444,5,18,.278,12,19,.632,4,30,6,2,2,5,20
L,52,61,17,44,.386,5,22,.227,13,19,.684,5,27,13,4,2,8,18,20,50,.400,8,23,.348,13,17,.765,6,31,12,4,2,6,16
W,83,72,28,50,.560,9,20,.450,18,24,.750,8,32,15,2,3,8,16,27,55,.491,7,17,.412,11,14,.786,4,19,10,2,4,8,20
W,74,59,28,67,.418,12,33,.364,6,12,.500,10,31,19,13,2,5,13,25,52,.481,2,10,.200,7,9,.778,5,33,15,3,3,15,15
W,74,62,25,52,.481,7,20,.350,17,24,.708,2,27,12,6,2,6,17,24,58,.414,5,11,.455,9,19,.474,13,37,8,5,5,14,22
W,72,63,23,51,.451,10,21,.476,16,19,.842,5,32,15,8,6,11,15,25,59,.424,7,18,.389,6,11,.545,4,26,10,6,6,10,19
W,85,61,29,57,.509,15,31,.484,12,16,.750,8,29,18,6,5,8,18,21,55,.382,3,18,.167,16,20,.800,9,30,10,3,1,11,14
W (1 OT),77,71,28,62,.452,3,19,.158,18,32,.563,10,41,11,8,2,7,22,27,65,.415,7,23,.304,10,18,.556,8,37,17,2,1,14,24
W,77,58,27,61,.443,11,23,.478,12,15,.800,12,38,12,4,6,9,20,16,53,.302,4,16,.250,22,27,.815,6,27,5,3,8,10,18
W,75,64,21,47,.447,9,25,.360,24,33,.727,4,34,10,5,1,8,13,24,63,.381,7,25,.280,9,10,.900,9,32,10,4,1,8,23
W,75,66,26,52,.500,8,23,.348,15,25,.600,4,23,18,6,2,5,16,25,55,.455,4,17,.235,12,17,.706,7,35,8,2,1,11,21
