W,72,60,25,62,.403,7,20,.350,15,25,.600,9,30,11,7,6,11,23,19,47,.404,4,12,.333,18,26,.692,6,38,5,3,3,24,21
W (1 OT),83,78,30,66,.455,7,24,.292,16,25,.640,11,36,15,7,6,13,23,27,61,.443,6,15,.400,18,24,.750,12,35,12,4,3,19,22
L,57,70,22,56,.393,6,21,.286,7,15,.467,9,32,9,9,5,14,22,25,50,.500,6,12,.500,14,24,.583,4,30,12,3,9,13,15
W,69,64,24,56,.429,4,22,.182,17,22,.773,12,31,18,10,4,10,18,23,52,.442,8,16,.500,10,15,.667,9,29,13,6,3,15,18
L,73,80,27,63,.429,6,22,.273,13,21,.619,14,28,12,8,3,17,28,23,41,.561,6,14,.429,28,35,.800,6,28,11,5,8,20,24
W,86,75,33,59,.559,5,13,.385,15,27,.556,14,31,13,9,2,16,19,25,45,.556,8,12,.667,17,20,.850,2,19,14,6,5,19,23
L,54,70,19,65,.292,4,25,.160,12,17,.706,14,34,7,6,5,10,27,21,48,.438,3,11,.273,25,33,.758,9,42,12,5,5,18,14
W,86,68,31,60,.517,4,12,.333,20,25,.800,12,35,15,5,6,12,22,25,52,.481,4,12,.333,14,23,.609,6,22,11,4,3,15,20
L,68,71,21,58,.362,5,22,.227,21,26,.808,13,39,10,11,5,15,21,23,55,.418,5,20,.250,20,26,.769,7,30,9,9,6,14,17
W,77,61,24,48,.500,5,18,.278,24,31,.774,11,37,7,7,5,20,18,20,52,.385,5,17,.294,16,23,.696,6,21,6,6,2,16,22
W,86,68,32,61,.525,7,15,.467,15,25,.600,11,29,15,6,2,11,22,21,49,.429,6,15,.400,20,27,.741,7,24,10,6,4,13,18
L,63,66,27,67,.403,5,15,.333,4,6,.667,16,36,12,6,6,20,19,23,51,.451,3,9,.333,17,21,.810,5,24,4,12,11,18,14
W,87,69,29,65,.446,7,17,.412,22,29,.759,9,33,13,11,4,11,26,16,49,.327,7,17,.412,30,35,.857,8,30,10,4,7,18,22
W,79,49,31,63,.492,4,16,.250,13,14,.929,3,34,13,8,1,6,23,15,57,.263,4,15,.267,15,21,.714,10,36,7,2,3,15,14
W,109,79,40,65,.615,8,14,.571,21,30,.700,6,36,21,10,3,8,25,24,63,.381,8,31,.258,23,26,.885,8,29,8,4,3,13,26
W,89,80,29,57,.509,3,7,.429,28,33,.848,10,33,13,8,4,13,22,25,57,.439,14,26,.538,16,21,.762,7,23,15,7,5,15,25
W,78,66,26,57,.456,7,13,.538,19,22,.864,8,29,13,14,0,12,22,21,40,.525,7,14,.500,17,27,.630,6,22,10,6,3,17,20
W,92,89,27,49,.551,5,11,.455,33,47,.702,11,34,13,7,1,19,25,33,77,.429,5,24,.208,18,22,.818,18,33,13,11,2,14,32
W,67,52,26,58,.448,4,12,.333,11,16,.688,8,34,10,7,3,8,23,16,50,.320,3,16,.188,17,26,.654,13,40,9,3,3,12,18
W,71,47,22,52,.423,7,12,.583,20,28,.714,7,33,7,9,4,9,23,15,49,.306,1,11,.091,16,27,.593,7,31,4,1,3,16,22
W,82,64,34,62,.548,12,28,.429,2,6,.333,10,26,14,9,2,14,22,20,48,.417,7,16,.438,17,21,.810,11,31,5,2,0,22,14
W,88,79,32,58,.552,5,9,.556,19,32,.594,12,39,10,5,2,12,25,24,56,.429,8,26,.308,23,28,.821,6,30,13,1,2,11,25
W,72,67,27,56,.482,5,18,.278,13,19,.684,7,30,17,7,1,13,21,24,53,.453,3,17,.176,16,23,.696,7,30,10,7,2,13,17
W,80,60,28,61,.459,2,11,.182,22,29,.759,12,43,15,7,7,9,20,21,67,.313,6,27,.222,12,20,.600,11,28,9,4,4,13,24
W (1 OT),71,69,24,63,.381,7,22,.318,16,21,.762,9,38,14,5,5,9,17,25,58,.431,8,13,.615,11,16,.688,4,36,14,3,5,11,20
L,65,74,22,51,.431,6,22,.273,15,19,.789,6,25,14,9,1,15,17,27,48,.563,7,16,.438,13,18,.722,5,30,15,6,3,15,18
L (1 OT),77,79,27,57,.474,6,16,.375,17,24,.708,9,26,11,9,1,11,20,27,52,.519,12,19,.632,13,18,.722,6,28,14,4,3,16,22
W,90,63,35,66,.530,5,15,.333,15,24,.625,11,43,18,10,3,12,24,19,61,.311,6,24,.250,19,29,.655,14,37,8,3,2,16,21
W,75,57,31,58,.534,4,9,.444,9,14,.643,10,38,22,7,2,14,17,22,54,.407,2,11,.182,11,16,.688,4,23,3,5,5,10,15
W,75,64,27,63,.429,3,17,.176,18,24,.750,15,41,8,5,4,11,12,27,58,.466,5,19,.263,5,7,.714,4,27,12,7,6,12,20
