L,48,60,15,51,.294,4,26,.154,14,18,.778,13,30,9,5,2,17,20,18,42,.429,4,16,.250,20,24,.833,7,30,8,8,4,13,17
W,82,48,32,62,.516,8,26,.308,10,15,.667,13,41,16,9,7,15,15,17,52,.327,5,17,.294,9,14,.643,7,24,7,10,3,19,20
W,95,43,35,63,.556,13,28,.464,12,20,.600,15,43,19,17,4,19,15,16,50,.320,6,24,.250,5,7,.714,4,20,8,11,0,26,16
W,79,66,25,53,.472,14,27,.519,15,18,.833,8,30,15,7,7,13,14,24,53,.453,6,17,.353,12,15,.800,7,25,4,10,1,11,19
W,71,40,26,62,.419,11,34,.324,8,14,.571,11,39,15,12,6,18,18,12,41,.293,4,15,.267,12,22,.545,3,25,4,7,2,26,16
L,75,81,25,51,.490,13,26,.500,12,22,.545,9,23,14,8,0,11,23,24,39,.615,8,14,.571,25,32,.781,5,27,12,5,0,16,20
L,72,74,28,58,.483,10,23,.435,6,9,.667,8,27,13,6,0,13,19,29,53,.547,10,27,.370,6,10,.600,7,25,15,7,2,12,13
W (3 OT),76,75,24,79,.304,11,41,.268,17,27,.630,14,45,10,11,4,17,33,19,58,.328,4,23,.174,33,42,.786,7,46,8,8,2,20,24
W,75,44,31,58,.534,10,27,.370,3,4,.750,4,29,14,13,1,8,10,17,49,.347,4,28,.143,6,7,.857,4,25,11,3,0,16,4
W,71,58,25,66,.379,9,29,.310,12,17,.706,12,39,14,12,7,12,21,20,61,.328,4,14,.286,14,22,.636,16,45,9,6,3,17,15
W,81,76,31,60,.517,12,24,.500,7,13,.538,10,32,16,8,1,12,20,25,50,.500,7,20,.350,19,28,.679,4,25,17,7,2,9,16
L,60,67,22,54,.407,9,30,.300,7,12,.583,12,26,13,10,0,19,20,22,46,.478,4,19,.211,19,26,.731,8,31,11,11,1,17,20
W,85,67,29,56,.518,9,22,.409,18,22,.818,9,36,13,8,1,18,21,22,50,.440,3,15,.200,20,26,.769,3,20,10,5,1,16,22
W,71,67,24,52,.462,11,27,.407,12,16,.750,9,27,16,4,4,11,14,25,54,.463,12,26,.462,5,9,.556,9,27,14,4,3,14,19
W,63,61,22,57,.386,7,24,.292,12,14,.857,11,36,10,6,2,16,19,19,49,.388,7,19,.368,16,23,.696,4,26,9,9,2,11,17
L,58,68,21,63,.333,7,24,.292,9,17,.529,16,33,9,1,2,11,20,24,46,.522,3,10,.300,17,26,.654,9,35,14,5,7,12,15
W,66,55,26,53,.491,9,29,.310,5,7,.714,13,35,13,8,3,19,19,15,38,.395,5,12,.417,20,29,.690,3,16,7,10,2,14,11
W,72,58,26,64,.406,11,30,.367,9,13,.692,15,43,14,9,5,13,15,21,54,.389,7,29,.241,9,15,.600,7,30,12,6,3,15,13
W (1 OT),70,66,22,57,.386,8,28,.286,18,28,.643,8,26,11,7,4,9,20,20,50,.400,10,19,.526,16,20,.800,8,34,10,7,3,16,26
W,71,61,22,47,.468,6,15,.400,21,28,.750,5,30,12,7,6,11,16,23,55,.418,6,23,.261,9,15,.600,7,27,6,6,0,13,21
W,98,82,34,53,.642,16,21,.762,14,16,.875,9,34,25,7,4,19,23,24,58,.414,9,26,.346,25,29,.862,7,14,11,11,3,8,14
L (2 OT),85,87,31,76,.408,9,38,.237,14,18,.778,11,34,15,9,4,11,28,24,56,.429,10,21,.476,29,38,.763,6,38,13,4,4,14,14
W,73,51,26,64,.406,10,35,.286,11,14,.786,9,30,17,9,5,12,12,18,44,.409,5,15,.333,10,14,.714,4,25,9,8,2,20,15
W,80,67,30,56,.536,8,20,.400,12,14,.857,11,36,14,4,1,15,16,25,50,.500,8,24,.333,9,15,.600,2,17,14,7,1,9,15
W,65,48,22,53,.415,6,23,.261,15,23,.652,9,33,15,10,4,14,14,17,53,.321,5,21,.238,9,11,.818,7,29,8,5,5,19,17
W,74,56,27,55,.491,11,20,.550,9,13,.692,6,36,13,6,14,14,21,20,66,.303,5,19,.263,11,18,.611,16,37,4,5,4,10,15
W,82,66,31,66,.470,9,27,.333,11,14,.786,10,47,15,8,3,14,19,21,60,.350,13,37,.351,11,18,.611,5,29,14,10,4,14,18
L,74,77,25,54,.463,12,25,.480,12,17,.706,9,25,19,6,3,11,23,23,43,.535,7,16,.438,24,29,.828,3,25,11,4,2,10,21
W,76,66,29,62,.468,11,27,.407,7,13,.538,13,37,17,7,2,11,14,23,56,.411,8,23,.348,12,13,.923,7,30,10,7,3,10,14
W,72,51,30,68,.441,8,28,.286,4,6,.667,12,36,15,7,9,9,13,20,53,.377,6,15,.400,5,8,.625,9,30,8,7,0,17,13
W,88,75,32,64,.500,13,30,.433,11,13,.846,14,35,20,5,3,13,19,24,50,.480,8,21,.381,19,21,.905,4,21,15,8,3,14,16
W,72,58,27,59,.458,8,23,.348,10,15,.667,13,41,15,5,5,10,16,20,57,.351,11,39,.282,7,9,.778,8,28,10,4,0,12,16
W,56,55,21,58,.362,8,28,.286,6,9,.667,11,34,6,7,3,10,17,18,52,.346,7,26,.269,12,12,1.000,8,32,10,6,2,9,14
