L,72,80,26,72,.361,9,39,.231,11,19,.579,7,30,14,6,3,9,21,28,56,.500,4,17,.235,20,24,.833,7,44,13,5,5,16,22
L (2 OT),71,75,25,74,.338,5,20,.250,16,25,.640,11,34,10,11,3,7,19,26,61,.426,2,13,.154,21,26,.808,12,50,6,3,8,17,18
W,66,45,27,59,.458,7,22,.318,5,8,.625,7,34,16,9,7,15,19,16,57,.281,2,18,.111,11,15,.733,9,30,4,8,2,17,15
W,99,40,34,64,.531,15,39,.385,16,22,.727,6,44,27,9,3,8,11,16,71,.225,6,30,.200,2,9,.222,10,33,6,2,0,16,17
W,93,80,35,62,.565,13,24,.542,10,17,.588,8,38,24,1,1,11,20,30,62,.484,7,17,.412,13,21,.619,7,28,11,5,2,8,19
L,71,79,28,58,.483,6,18,.333,9,14,.643,8,33,15,4,1,14,24,24,52,.462,7,16,.438,24,37,.649,7,28,14,6,4,10,18
W,68,65,25,51,.490,5,19,.263,13,23,.565,4,34,13,5,2,18,17,21,55,.382,8,26,.308,15,20,.750,3,30,10,6,0,13,24
W (4 OT),101,96,30,77,.390,11,35,.314,30,50,.600,17,49,12,7,2,19,40,32,74,.432,8,22,.364,24,51,.471,14,49,15,6,4,19,39
L,62,90,24,58,.414,6,20,.300,8,13,.615,4,29,15,3,3,13,18,33,58,.569,8,16,.500,16,19,.842,1,30,16,8,5,7,18
W,81,68,27,68,.397,11,33,.333,16,25,.640,18,48,20,6,5,16,16,23,64,.359,5,20,.250,17,22,.773,9,32,9,3,1,14,21
W,73,68,28,63,.444,10,25,.400,7,14,.500,7,34,10,5,1,10,15,25,58,.431,6,23,.261,12,14,.857,5,36,10,6,3,12,17
W,78,70,26,47,.553,13,22,.591,13,18,.722,4,27,20,6,3,15,11,29,59,.492,9,26,.346,3,5,.600,6,27,16,4,3,14,15
W,105,52,35,57,.614,14,27,.519,21,25,.840,6,31,23,9,2,7,11,19,55,.345,4,16,.250,10,14,.714,6,22,5,3,1,11,16
L,72,85,28,65,.431,8,30,.267,8,12,.667,7,30,15,3,2,6,14,30,57,.526,9,14,.643,16,20,.800,6,35,10,4,1,8,11
W,76,70,28,54,.519,6,16,.375,14,22,.636,6,27,10,5,1,8,17,25,55,.455,7,21,.333,13,16,.813,5,25,7,2,3,10,19
W,69,61,26,58,.448,6,18,.333,11,23,.478,5,33,17,11,3,9,21,23,57,.404,4,19,.211,11,15,.733,7,38,7,4,4,16,20
W,77,71,27,62,.435,12,33,.364,11,17,.647,10,39,12,7,3,20,14,28,71,.394,6,25,.240,9,15,.600,15,43,3,11,2,14,16
L,51,60,17,60,.283,8,31,.258,9,14,.643,13,38,13,8,4,12,15,21,51,.412,7,16,.438,11,17,.647,8,36,5,5,2,13,17
W,67,56,25,59,.424,7,32,.219,10,14,.714,9,47,10,1,2,15,18,21,68,.309,6,24,.250,8,13,.615,5,31,8,9,3,7,18
W (1 OT),95,90,28,54,.519,9,19,.474,30,44,.682,6,32,14,7,5,14,18,35,71,.493,8,18,.444,12,19,.632,7,31,16,8,4,13,30
W,59,50,23,61,.377,5,23,.217,8,9,.889,10,42,13,3,2,11,10,20,59,.339,1,19,.053,9,10,.900,7,35,6,5,4,8,16
W,82,65,30,56,.536,9,24,.375,13,17,.765,8,33,14,7,2,11,17,23,57,.404,7,25,.280,12,15,.800,9,31,9,7,1,13,20
W,64,61,23,56,.411,6,20,.300,12,16,.750,3,32,14,6,2,10,20,17,61,.279,6,19,.316,21,24,.875,11,42,8,2,4,10,19
L,67,76,27,59,.458,6,24,.250,7,9,.778,5,26,13,3,1,9,18,27,58,.466,5,15,.333,17,21,.810,10,32,13,6,7,5,9
W,74,62,26,60,.433,9,29,.310,13,21,.619,7,32,19,11,4,9,16,23,55,.418,4,17,.235,12,13,.923,7,35,7,4,0,17,22
W,79,71,26,50,.520,11,25,.440,16,29,.552,7,27,20,4,2,12,13,27,54,.500,6,21,.286,11,13,.846,4,27,18,5,2,14,24
W,74,46,28,59,.475,10,31,.323,8,12,.667,8,43,18,5,3,14,14,19,56,.339,0,17,.000,8,14,.571,4,28,6,4,3,10,8
W,74,71,26,51,.510,7,26,.269,15,22,.682,7,26,13,7,3,7,17,25,53,.472,10,21,.476,11,14,.786,9,33,9,3,1,14,19
L,79,80,28,55,.509,10,20,.500,13,21,.619,2,24,19,8,3,7,22,26,58,.448,4,17,.235,24,32,.750,12,39,14,4,5,12,17
W,99,93,32,57,.561,11,18,.611,24,30,.800,5,30,15,5,6,10,18,33,67,.493,7,22,.318,20,22,.909,5,30,19,5,2,10,22
