W,65,54,17,57,.298,14,35,.400,17,23,.739,10,35,14,4,5,8,16,22,58,.379,5,19,.263,5,12,.417,14,47,8,4,2,18,24
W,78,54,24,56,.429,8,23,.348,22,32,.688,13,46,15,3,4,13,23,15,53,.283,4,18,.222,20,29,.690,8,31,4,3,1,14,26
W,94,63,30,56,.536,17,29,.586,17,20,.850,7,41,23,4,1,13,16,21,60,.350,11,25,.440,10,14,.714,6,24,10,8,3,9,19
L,64,98,21,64,.328,6,28,.214,16,25,.640,12,36,8,4,0,12,15,37,61,.607,13,27,.481,11,16,.688,2,32,23,10,8,7,16
L,65,77,17,46,.370,9,25,.360,22,30,.733,6,36,11,6,2,23,24,25,60,.417,8,30,.267,19,25,.760,7,32,12,8,0,17,24
W,80,72,27,61,.443,10,20,.500,16,19,.842,8,30,10,9,1,9,15,28,55,.509,8,21,.381,8,15,.533,7,30,16,4,3,15,17
W,94,80,28,46,.609,10,21,.476,28,37,.757,5,36,14,3,3,19,20,30,72,.417,9,31,.290,11,13,.846,9,23,14,5,0,11,26
W,92,60,35,63,.556,9,21,.429,13,18,.722,8,47,17,5,2,8,9,23,66,.348,11,34,.324,3,5,.600,4,26,12,6,0,6,15
W (1 OT),99,97,35,74,.473,18,41,.439,11,14,.786,9,38,22,5,1,14,22,36,72,.500,7,27,.259,18,27,.667,7,36,19,7,2,10,18
L,53,73,21,59,.356,3,24,.125,8,12,.667,9,30,7,3,3,7,9,30,62,.484,9,24,.375,4,6,.667,10,39,19,3,2,7,15
L,85,95,29,58,.500,14,29,.483,13,20,.650,5,25,17,3,3,12,25,35,64,.547,10,29,.345,15,24,.625,8,37,22,5,4,10,20
W,103,67,37,68,.544,17,30,.567,12,14,.857,5,31,22,11,3,9,10,25,59,.424,13,37,.351,4,4,1.000,3,26,13,2,2,20,12
W,99,63,33,56,.589,5,15,.333,28,35,.800,6,37,9,9,2,12,17,24,61,.393,5,25,.200,10,18,.556,8,27,9,7,0,15,25
L (2 OT),103,112,38,86,.442,13,29,.448,14,18,.778,10,29,13,8,3,10,22,40,74,.541,13,27,.481,19,23,.826,8,42,21,8,3,17,25
W,87,74,33,63,.524,9,27,.333,12,13,.923,9,39,15,5,5,10,14,29,60,.483,6,18,.333,10,17,.588,4,22,13,6,1,7,17
W,85,60,31,61,.508,12,25,.480,11,19,.579,5,40,15,6,1,11,20,19,58,.328,7,25,.280,15,22,.682,7,33,7,4,0,15,21
W,111,68,40,62,.645,14,23,.609,17,24,.708,7,37,21,4,2,7,12,27,71,.380,7,24,.292,7,8,.875,12,29,6,4,1,9,19
W,87,80,29,57,.509,7,21,.333,22,25,.880,5,34,8,6,4,5,18,26,65,.400,10,23,.435,18,22,.818,7,32,6,5,2,7,20
W,101,88,35,61,.574,13,24,.542,18,20,.900,7,30,13,2,0,10,16,30,68,.441,11,31,.355,17,19,.895,7,24,15,4,6,7,15
W,78,75,26,59,.441,10,27,.370,16,19,.842,8,33,15,3,2,9,10,32,68,.471,6,22,.273,5,8,.625,8,30,14,7,3,4,18
W,94,72,31,57,.544,12,27,.444,20,22,.909,3,31,10,5,5,10,13,29,67,.433,5,14,.357,9,11,.818,8,32,5,5,3,10,20
W,98,70,33,66,.500,14,28,.500,18,20,.900,6,41,17,7,2,7,15,27,62,.435,7,15,.467,9,14,.643,3,31,8,2,4,11,14
L,68,87,25,62,.403,11,30,.367,7,14,.500,4,30,14,5,4,11,11,35,71,.493,10,24,.417,7,9,.778,8,40,15,5,1,6,13
W,78,76,28,68,.412,9,34,.265,13,18,.722,12,46,10,3,3,14,10,30,74,.405,10,29,.345,6,9,.667,7,34,11,9,2,5,13
W,80,60,30,65,.462,7,20,.350,13,15,.867,10,37,9,6,2,5,15,23,61,.377,4,21,.190,10,13,.769,9,34,6,2,3,12,13
W,82,63,25,58,.431,7,21,.333,25,32,.781,9,35,12,9,1,6,16,23,57,.404,7,27,.259,10,16,.625,8,31,6,1,4,13,24
W,81,77,22,58,.379,11,32,.344,26,36,.722,8,36,11,7,0,5,25,24,63,.381,9,25,.360,20,28,.714,14,46,14,1,2,13,29
W,85,75,29,55,.527,10,22,.455,17,21,.810,7,37,14,5,2,12,16,30,70,.429,8,23,.348,7,12,.583,13,31,13,6,4,9,21
W,82,62,28,63,.444,7,24,.292,19,25,.760,5,36,9,5,4,4,15,24,59,.407,4,18,.222,10,15,.667,3,34,6,3,2,8,18
W,76,72,27,61,.443,10,27,.370,12,17,.706,13,41,14,4,2,11,16,27,61,.443,9,21,.429,9,12,.750,5,26,9,4,1,9,21
W,97,90,34,69,.493,16,33,.485,13,18,.722,7,35,18,1,2,4,16,30,66,.455,13,33,.394,17,20,.850,7,36,17,1,6,5,16
W,66,60,21,64,.328,7,28,.250,17,25,.680,11,39,7,3,1,6,12,25,56,.446,4,15,.267,6,10,.600,4,36,6,4,7,10,21
