L,75,77,24,61,.393,6,26,.231,21,31,.677,15,41,7,3,2,13,25,25,53,.472,8,22,.364,19,31,.613,5,29,12,6,2,13,24
W,72,58,22,51,.431,9,24,.375,19,27,.704,7,34,15,3,7,12,19,20,61,.328,8,25,.320,10,20,.500,11,35,11,5,1,13,27
W,96,48,32,52,.615,14,24,.583,18,23,.783,8,30,23,15,6,10,15,18,48,.375,4,18,.222,8,13,.615,8,20,8,6,1,23,16
W,63,61,21,55,.382,0,7,.000,21,25,.840,8,25,7,12,2,9,22,19,45,.422,5,23,.217,18,23,.783,8,30,11,5,6,20,19
L,79,89,20,42,.476,7,20,.350,32,44,.727,5,18,10,8,1,11,23,30,59,.508,7,17,.412,22,28,.786,16,35,17,5,3,18,27
W,75,55,26,56,.464,6,15,.400,17,30,.567,12,38,13,8,4,7,18,18,53,.340,4,20,.200,15,20,.750,10,31,8,4,4,13,22
W,73,62,25,67,.373,5,15,.333,18,27,.667,12,43,9,10,4,14,26,19,56,.339,7,29,.241,17,30,.567,6,33,15,7,9,16,25
W,73,65,28,61,.459,4,15,.267,13,14,.929,11,32,17,9,2,12,19,21,47,.447,8,24,.333,15,23,.652,9,30,12,5,2,19,17
W,75,67,25,63,.397,7,15,.467,18,21,.857,9,31,14,15,3,12,20,21,49,.429,6,21,.286,19,26,.731,6,34,12,5,7,20,20
W,81,79,29,48,.604,8,12,.667,15,19,.789,5,19,19,2,6,12,20,24,51,.471,10,21,.476,21,25,.840,10,25,18,4,2,10,17
W,84,65,27,56,.482,5,12,.417,25,28,.893,6,35,11,9,1,11,24,21,58,.362,6,25,.240,17,23,.739,10,32,12,3,3,18,21
W (1 OT),60,57,18,55,.327,7,18,.389,17,23,.739,6,32,13,4,3,15,23,18,60,.300,3,19,.158,18,28,.643,10,38,9,8,9,15,22
W,98,78,34,64,.531,10,18,.556,20,25,.800,14,40,17,5,2,8,16,30,66,.455,8,23,.348,10,18,.556,15,29,14,3,3,11,20
L,72,82,25,64,.391,8,25,.320,14,22,.636,12,29,15,6,2,17,26,24,43,.558,7,21,.333,27,34,.794,4,29,16,7,7,17,17
L,78,85,26,60,.433,7,19,.368,19,23,.826,6,34,16,8,2,11,23,26,57,.456,9,29,.310,24,32,.750,6,32,18,7,3,13,21
W,77,61,31,61,.508,3,12,.250,12,13,.923,9,40,19,6,3,11,18,19,53,.358,10,36,.278,13,16,.813,4,22,14,8,2,12,16
L,73,87,23,60,.383,5,15,.333,22,31,.710,9,31,7,5,5,8,21,29,62,.468,8,21,.381,21,24,.875,9,39,16,2,5,11,23
L,73,83,25,62,.403,9,24,.375,14,17,.824,10,30,13,6,3,8,18,28,53,.528,14,33,.424,13,14,.929,3,28,17,3,2,11,16
W,70,67,26,62,.419,7,22,.318,11,15,.733,13,41,17,4,6,17,26,23,58,.397,5,18,.278,16,28,.571,7,29,12,11,6,11,18
W,70,52,28,64,.438,8,19,.421,6,9,.667,9,35,18,10,3,11,16,18,56,.321,4,16,.250,12,16,.750,9,30,9,3,11,16,10
W,85,69,29,49,.592,13,23,.565,14,21,.667,3,31,21,5,5,13,22,24,57,.421,6,19,.316,15,22,.682,6,27,7,4,1,12,17
W,84,81,31,64,.484,11,23,.478,11,18,.611,14,30,17,2,2,9,16,30,54,.556,6,18,.333,15,23,.652,7,30,13,4,5,10,21
W,79,56,27,58,.466,11,22,.500,14,17,.824,5,28,14,10,3,4,19,20,54,.370,4,18,.222,12,23,.522,14,40,12,0,3,16,19
W,97,88,33,66,.500,10,25,.400,21,22,.955,11,40,18,3,5,14,15,35,77,.455,7,22,.318,11,15,.733,12,34,18,10,2,12,16
W,79,68,30,56,.536,10,20,.500,9,12,.750,7,31,12,9,0,12,18,22,55,.400,12,30,.400,12,13,.923,2,22,16,5,4,12,12
W,77,74,24,63,.381,9,25,.360,20,23,.870,16,34,13,9,7,11,15,25,55,.455,9,23,.391,15,20,.750,10,29,12,5,6,17,17
W,73,67,21,46,.457,2,12,.167,29,33,.879,5,32,10,5,7,12,19,22,63,.349,5,22,.227,18,23,.783,10,28,9,7,3,9,26
W,68,63,23,55,.418,7,18,.389,15,20,.750,8,35,14,9,0,16,17,25,62,.403,9,33,.273,4,9,.444,12,34,15,7,2,17,18
W (3 OT),117,113,34,73,.466,14,35,.400,35,47,.745,9,38,14,5,8,11,29,34,75,.453,16,40,.400,29,32,.906,9,41,21,4,3,15,31
W,64,56,20,45,.444,6,14,.429,18,23,.783,5,31,9,6,4,12,18,20,58,.345,3,23,.130,13,21,.619,15,36,10,8,6,12,17
