W,83,73,30,61,.492,6,20,.300,17,28,.607,9,38,19,7,5,13,15,27,69,.391,12,27,.444,7,11,.636,9,35,18,8,0,12,23
W,100,63,35,56,.625,16,29,.552,14,24,.583,4,35,23,10,5,14,18,25,61,.410,8,22,.364,5,10,.500,4,24,18,5,3,16,20
W,76,71,27,58,.466,9,22,.409,13,15,.867,6,34,20,9,5,15,9,28,61,.459,8,24,.333,7,10,.700,5,24,18,8,5,13,14
W,99,66,36,68,.529,11,30,.367,16,20,.800,7,32,26,13,3,12,13,27,53,.509,7,20,.350,5,8,.625,2,25,20,4,2,25,16
W,69,67,28,59,.475,4,14,.286,9,17,.529,13,41,14,4,9,16,19,23,67,.343,6,30,.200,15,18,.833,8,28,8,7,3,9,19
W,89,79,30,59,.508,7,17,.412,22,28,.786,16,35,17,5,3,18,27,20,42,.476,7,20,.350,32,44,.727,5,18,10,8,1,11,23
W,87,76,32,63,.508,9,19,.474,14,19,.737,10,36,20,11,0,11,11,30,59,.508,11,35,.314,5,6,.833,1,20,24,5,4,13,17
W,92,66,38,64,.594,9,23,.391,7,12,.583,6,30,22,6,4,9,8,26,58,.448,7,25,.280,7,10,.700,6,27,16,5,3,14,12
W,94,83,26,46,.565,12,24,.500,30,37,.811,10,31,21,7,3,19,18,30,58,.517,6,21,.286,17,23,.739,11,23,20,12,1,15,29
W,84,80,30,54,.556,10,18,.556,14,21,.667,4,23,10,6,4,11,21,27,59,.458,6,18,.333,20,30,.667,13,33,11,4,3,10,18
W,91,72,34,78,.436,6,19,.316,17,23,.739,22,47,24,6,1,8,15,27,61,.443,7,20,.350,11,17,.647,5,25,13,1,5,10,18
W,86,75,34,55,.618,4,15,.267,14,22,.636,6,38,20,3,3,10,7,28,66,.424,15,38,.395,4,6,.667,5,22,20,4,2,7,17
L,89,90,30,74,.405,8,19,.421,21,31,.677,16,39,23,8,5,8,22,29,62,.468,10,21,.476,22,31,.710,11,39,19,6,10,12,23
W (1 OT),81,78,28,57,.491,8,20,.400,17,25,.680,7,30,18,9,3,11,21,30,70,.429,1,12,.083,17,24,.708,17,43,15,6,4,14,20
L,84,88,27,69,.391,9,29,.310,21,22,.955,15,37,19,3,3,11,25,27,53,.509,11,20,.550,23,33,.697,7,24,16,4,7,10,20
L (2 OT),98,99,34,71,.479,15,27,.556,15,20,.750,9,26,22,6,0,11,23,34,60,.567,9,27,.333,22,29,.759,9,33,17,5,7,17,20
L (1 OT),97,102,38,78,.487,12,33,.364,9,11,.818,11,36,20,9,5,13,20,35,72,.486,19,33,.576,13,22,.591,12,37,14,6,7,16,17
W,96,73,38,63,.603,12,25,.480,8,12,.667,6,27,29,5,4,3,11,30,59,.508,8,16,.500,5,8,.625,8,27,17,1,3,10,13
L,68,73,24,56,.429,8,26,.308,12,16,.750,9,29,13,6,1,13,13,27,51,.529,8,19,.421,11,14,.786,3,21,18,6,5,16,18
W,82,73,25,59,.424,9,24,.375,23,33,.697,10,43,20,5,7,16,19,25,75,.333,7,27,.259,16,22,.727,13,35,17,8,5,12,29
L,78,81,35,63,.556,8,23,.348,0,0,,12,33,18,5,3,12,10,31,59,.525,11,25,.440,8,9,.889,6,18,13,6,2,7,11
W,79,66,30,54,.556,8,12,.667,11,15,.733,5,32,16,8,3,20,18,23,56,.411,8,14,.571,12,16,.750,6,23,12,12,6,15,16
L,71,83,25,51,.490,6,12,.500,15,24,.625,10,31,19,6,3,17,20,28,55,.509,10,22,.455,17,21,.810,6,24,17,6,8,11,20
L,64,71,23,57,.404,10,25,.400,8,15,.533,10,35,18,5,3,12,22,24,55,.436,7,21,.333,16,23,.696,8,33,13,5,4,10,12
W,87,71,34,62,.548,10,20,.500,9,10,.900,11,30,23,8,1,5,13,27,52,.519,10,20,.500,7,12,.583,4,21,18,3,3,11,11
L,66,82,24,56,.429,6,17,.353,12,19,.632,11,24,13,7,5,13,15,31,61,.508,9,16,.563,11,12,.917,12,32,19,10,9,11,17
W,90,70,31,57,.544,8,16,.500,20,27,.741,7,34,21,6,6,10,21,22,60,.367,7,20,.350,19,23,.826,9,29,17,7,5,10,26
W,89,83,33,57,.579,7,20,.350,16,20,.800,7,33,16,4,3,13,18,29,63,.460,9,25,.360,16,19,.842,6,23,13,5,3,8,19
W,82,72,27,50,.540,7,19,.368,21,28,.750,11,31,18,1,3,12,15,27,64,.422,2,8,.250,16,18,.889,13,22,14,8,3,7,22
W,66,59,23,52,.442,5,20,.250,15,26,.577,11,34,14,10,6,16,9,25,53,.472,4,9,.444,5,8,.625,5,29,15,11,2,19,18
L,75,79,26,64,.406,5,23,.217,18,23,.783,11,33,11,6,4,11,23,25,50,.500,6,13,.462,23,29,.793,3,25,11,5,6,10,20
