W,75,50,27,56,.482,5,20,.250,16,22,.727,10,37,10,11,3,18,19,14,46,.304,7,20,.350,15,30,.500,8,27,2,9,2,24,22
W,83,44,29,57,.509,10,18,.556,15,19,.789,6,36,16,10,8,10,14,14,57,.246,3,21,.143,13,15,.867,6,25,9,6,2,16,18
W,75,64,27,61,.443,4,16,.250,17,24,.708,11,30,8,6,6,10,21,23,53,.434,3,19,.158,15,22,.682,8,31,9,2,4,18,22
W,85,49,29,48,.604,10,19,.526,17,21,.810,6,34,14,11,3,15,24,12,45,.267,6,23,.261,19,27,.704,6,19,6,5,0,17,18
W,79,56,27,57,.474,7,20,.350,18,26,.692,6,28,13,12,3,13,11,21,54,.389,5,20,.250,9,12,.750,7,27,7,4,2,21,26
W,103,69,39,74,.527,8,25,.320,17,21,.810,17,45,30,10,4,11,14,23,64,.359,10,41,.244,13,19,.684,8,23,11,5,2,16,19
L,79,89,30,63,.476,6,18,.333,13,16,.813,10,31,15,6,4,14,22,30,59,.508,11,20,.550,18,26,.692,12,30,18,7,4,13,18
W (1 OT),82,76,26,62,.419,4,16,.250,26,38,.684,9,34,8,10,5,12,14,25,59,.424,12,30,.400,14,17,.824,4,31,13,8,2,20,27
W,82,53,32,62,.516,6,16,.375,12,21,.571,17,41,18,7,4,14,20,14,46,.304,5,16,.313,20,28,.714,4,20,9,7,2,15,22
W,73,53,31,63,.492,4,16,.250,7,21,.333,10,30,18,15,5,9,20,17,44,.386,10,25,.400,9,15,.600,7,30,10,5,3,25,20
W,90,54,32,65,.492,14,26,.538,12,18,.667,8,35,20,12,4,8,10,21,58,.362,7,21,.333,5,9,.556,9,30,9,2,3,19,15
W,74,47,25,49,.510,7,18,.389,17,34,.500,8,40,16,4,4,12,10,18,61,.295,4,20,.200,7,7,1.000,5,29,6,5,0,10,26
W,77,53,26,52,.500,9,22,.409,16,21,.762,15,36,16,5,2,15,17,19,51,.373,3,12,.250,12,16,.750,6,17,3,7,4,14,20
W,85,73,29,67,.433,6,24,.250,21,25,.840,15,41,14,9,1,9,18,25,55,.455,6,26,.231,17,23,.739,8,27,10,7,2,15,19
W,74,58,24,41,.585,6,17,.353,20,26,.769,5,27,12,11,3,14,21,20,42,.476,4,13,.308,14,23,.609,5,18,7,9,1,15,22
L,65,75,25,67,.373,6,25,.240,9,14,.643,10,42,6,4,8,13,16,25,61,.410,7,22,.318,18,21,.857,4,34,13,7,10,10,14
W,72,71,22,44,.500,4,15,.267,24,28,.857,4,26,9,3,4,12,19,23,59,.390,11,28,.393,14,19,.737,10,28,10,5,1,12,27
L,58,67,21,55,.382,7,27,.259,9,15,.600,9,30,11,8,1,9,19,23,45,.511,6,15,.400,15,21,.714,5,30,9,4,6,15,12
L,52,70,20,59,.339,6,26,.231,6,10,.600,13,34,14,1,4,14,13,27,57,.474,8,21,.381,8,11,.727,8,31,13,6,7,10,13
W,75,70,22,52,.423,10,19,.526,21,33,.636,11,27,13,9,3,14,19,25,54,.463,7,17,.412,13,19,.684,8,27,10,6,6,19,29
W,70,63,20,47,.426,7,16,.438,23,28,.821,10,27,10,7,5,14,24,19,51,.373,5,26,.192,20,27,.741,12,30,13,6,0,15,27
W (1 OT),73,71,22,52,.423,5,17,.294,24,37,.649,6,35,11,6,6,14,23,24,65,.369,10,27,.370,13,26,.500,10,35,13,9,8,13,29
W,83,71,28,55,.509,10,22,.455,17,21,.810,6,24,17,6,8,11,20,25,51,.490,6,12,.500,15,24,.625,10,31,19,6,3,17,20
W,76,58,29,59,.492,2,11,.182,16,19,.842,8,29,15,7,5,8,16,22,57,.386,4,14,.286,10,17,.588,14,34,8,5,3,15,24
W,66,47,24,53,.453,7,15,.467,11,16,.688,4,30,15,13,2,11,21,13,45,.289,3,17,.176,18,25,.720,7,32,7,7,4,18,18
W,88,78,30,62,.484,11,21,.524,17,25,.680,9,27,15,7,3,9,18,26,56,.464,7,22,.318,19,25,.760,7,30,9,5,4,14,25
L,57,59,20,51,.392,3,14,.214,14,18,.778,10,35,14,7,7,17,23,18,54,.333,3,13,.231,20,29,.690,11,29,12,7,6,12,19
L,71,79,25,60,.417,9,23,.391,12,16,.750,12,26,13,6,2,12,22,24,46,.522,11,22,.500,20,25,.800,9,28,13,5,4,17,18
L,72,74,24,56,.429,8,24,.333,16,23,.696,13,32,12,4,2,8,15,26,52,.500,11,25,.440,11,16,.688,4,25,12,4,5,10,18
L,74,84,24,55,.436,10,24,.417,16,25,.640,15,37,11,2,3,13,22,29,59,.492,10,23,.435,16,27,.593,8,23,16,9,4,5,20
W,79,75,25,50,.500,6,13,.462,23,29,.793,3,25,11,5,6,10,20,26,64,.406,5,23,.217,18,23,.783,11,33,11,6,4,11,23
