W,105,59,37,75,.493,10,33,.303,21,33,.636,19,46,23,11,8,5,19,21,56,.375,6,16,.375,11,15,.733,5,32,6,2,1,18,24
W,78,60,29,61,.475,7,24,.292,13,21,.619,8,40,7,7,5,9,19,19,60,.317,8,29,.276,14,17,.824,8,33,11,2,2,14,21
W,80,57,29,57,.509,3,16,.188,19,33,.576,7,34,6,5,8,12,21,17,58,.293,2,23,.087,21,26,.808,9,33,3,4,0,16,27
W,61,48,22,55,.400,7,21,.333,10,12,.833,10,37,14,6,6,11,12,19,58,.328,6,22,.273,4,5,.800,6,26,7,7,2,11,13
L (1 OT),78,85,30,70,.429,4,23,.174,14,21,.667,10,33,14,4,3,10,26,30,67,.448,3,18,.167,22,36,.611,14,46,21,8,3,13,20
L (1 OT),71,76,26,67,.388,8,22,.364,11,15,.733,13,36,13,10,6,20,19,26,57,.456,11,27,.407,13,21,.619,6,34,17,9,2,22,15
W,82,58,34,59,.576,4,19,.211,10,23,.435,15,36,11,7,7,11,16,21,52,.404,7,17,.412,9,15,.600,9,27,9,3,0,16,20
W,71,67,26,51,.510,7,16,.438,12,22,.545,9,30,14,5,6,11,16,24,60,.400,7,25,.280,12,18,.667,12,35,13,4,0,11,21
L,52,59,19,52,.365,5,20,.250,9,15,.600,4,27,6,5,4,10,17,22,55,.400,6,19,.316,9,12,.750,9,38,9,3,3,10,17
W,75,60,24,49,.490,6,14,.429,21,34,.618,4,38,14,4,7,17,17,21,62,.339,6,25,.240,12,18,.667,6,31,6,7,3,15,28
W,47,46,18,51,.353,3,21,.143,8,12,.667,11,26,10,8,7,16,10,17,43,.395,6,16,.375,6,8,.750,9,26,6,7,2,21,15
W,66,50,24,54,.444,7,26,.269,11,14,.786,5,35,10,4,9,11,15,21,61,.344,3,15,.200,5,9,.556,9,34,9,8,3,11,14
L,86,92,31,72,.431,7,25,.280,17,21,.810,17,42,12,5,8,7,14,31,69,.449,17,35,.486,13,15,.867,11,35,15,4,3,8,14
W (1 OT),74,70,25,64,.391,13,32,.406,11,16,.688,8,37,14,5,4,12,14,28,76,.368,7,27,.259,7,9,.778,16,47,15,5,6,6,15
L,60,69,24,70,.343,8,26,.308,4,5,.800,12,31,11,7,6,11,14,25,51,.490,3,12,.250,16,21,.762,5,33,11,8,10,14,13
W (2 OT),99,98,34,60,.567,9,27,.333,22,29,.759,9,33,17,5,7,17,20,34,71,.479,15,27,.556,15,20,.750,9,26,22,6,0,11,23
L,64,65,23,53,.434,8,21,.381,10,17,.588,12,36,9,5,2,14,15,26,58,.448,3,10,.300,10,13,.769,8,26,11,8,1,6,17
W,67,58,23,45,.511,6,15,.400,15,21,.714,5,30,9,4,6,15,12,21,55,.382,7,27,.259,9,15,.600,9,30,11,8,1,9,19
L,51,86,17,50,.340,3,15,.200,14,22,.636,4,27,7,5,4,15,17,31,68,.456,12,23,.522,12,12,1.000,13,40,16,4,6,9,15
W,73,57,25,57,.439,8,20,.400,15,18,.833,9,32,12,7,3,8,16,21,54,.389,6,17,.353,9,12,.750,7,27,8,4,4,13,16
W,85,72,28,63,.444,10,31,.323,19,23,.826,8,34,13,6,4,7,15,25,64,.391,8,21,.381,14,17,.824,11,36,7,2,2,10,19
L (1 OT),71,73,24,65,.369,10,27,.370,13,26,.500,10,35,13,9,8,13,29,22,52,.423,5,17,.294,24,37,.649,6,35,11,6,6,14,23
W,79,74,25,55,.455,9,25,.360,20,27,.741,5,25,11,6,1,13,11,32,62,.516,3,22,.136,7,11,.636,8,35,16,7,1,17,21
L,64,67,24,58,.414,8,29,.276,8,12,.667,15,35,11,7,2,16,13,29,54,.537,6,17,.353,3,5,.600,5,22,15,10,4,12,16
L,71,87,27,52,.519,10,20,.500,7,12,.583,4,21,18,3,3,11,11,34,62,.548,10,20,.500,9,10,.900,11,30,23,8,1,5,13
L (2 OT),73,74,26,72,.361,3,19,.158,18,22,.818,14,32,8,8,6,5,15,31,68,.456,4,15,.267,8,11,.727,13,38,14,3,1,13,18
W,77,66,30,55,.545,8,21,.381,9,15,.600,4,41,12,5,6,14,16,20,65,.308,8,30,.267,18,22,.818,8,31,10,5,1,7,15
L,48,58,16,56,.286,2,18,.111,14,20,.700,9,33,5,5,2,6,17,20,48,.417,3,13,.231,15,21,.714,7,35,7,2,7,12,15
W,65,64,23,56,.411,6,20,.300,13,20,.650,8,34,7,6,2,8,12,22,58,.379,9,26,.346,11,13,.846,10,33,9,4,3,9,17
L,70,80,29,68,.426,9,28,.321,3,5,.600,9,27,12,9,4,11,19,35,58,.603,7,16,.438,3,10,.300,8,36,23,5,7,13,9
W (1 OT),87,79,29,51,.569,11,19,.579,18,28,.643,8,34,14,4,4,14,13,31,74,.419,7,26,.269,10,11,.909,12,30,12,7,2,6,26
