L,80,84,26,54,.481,9,20,.450,19,25,.760,8,27,16,9,2,20,25,28,51,.549,7,20,.350,21,32,.656,7,29,18,10,3,19,20
L (1 OT),67,73,26,62,.419,3,15,.200,12,20,.600,8,40,12,4,2,17,17,25,61,.410,12,29,.414,11,16,.688,3,30,14,7,4,10,23
L,61,80,21,54,.389,4,16,.250,15,20,.750,10,28,7,6,0,15,8,32,60,.533,12,24,.500,4,6,.667,9,33,18,7,2,15,21
W,73,49,26,64,.406,4,18,.222,17,22,.773,10,37,11,10,0,12,12,21,54,.389,4,19,.211,3,6,.500,6,30,15,3,2,23,23
W,67,47,21,45,.467,4,12,.333,21,34,.618,6,35,13,10,0,19,18,15,51,.294,5,19,.263,12,17,.706,6,26,7,7,1,22,28
W,68,44,27,60,.450,8,18,.444,6,14,.429,11,39,13,1,2,7,12,15,47,.319,4,16,.250,10,14,.714,3,28,9,3,0,11,18
W,57,56,23,53,.434,2,12,.167,9,12,.750,6,30,8,10,1,9,11,22,55,.400,7,22,.318,5,7,.714,8,32,9,1,2,15,15
L,60,78,22,60,.367,9,27,.333,7,13,.538,8,30,16,8,1,11,18,28,54,.519,8,19,.421,14,17,.824,5,34,15,5,6,14,18
W,98,68,35,54,.648,10,20,.500,18,29,.621,7,32,17,5,2,16,16,26,56,.464,10,25,.400,6,13,.462,5,21,13,6,1,21,21
W,63,54,20,52,.385,4,22,.182,19,26,.731,6,30,10,9,4,16,17,19,52,.365,6,17,.353,10,14,.714,8,32,11,12,1,24,27
W,77,69,24,57,.421,7,18,.389,22,30,.733,14,38,8,7,2,14,14,26,64,.406,10,29,.345,7,14,.500,14,36,15,7,2,18,24
L,50,66,18,64,.281,6,29,.207,8,16,.500,12,34,8,3,4,10,17,26,56,.464,6,16,.375,8,14,.571,8,39,14,5,6,11,20
W,85,81,29,56,.518,9,20,.450,18,25,.720,10,32,20,7,2,16,19,29,57,.509,3,14,.214,20,27,.741,10,29,9,9,3,17,19
W,65,61,21,64,.328,6,19,.316,17,20,.850,13,32,13,10,2,8,12,23,53,.434,5,13,.385,10,11,.909,9,38,8,4,6,20,18
W,60,52,22,51,.431,6,19,.316,10,13,.769,7,36,13,10,1,19,13,18,51,.353,7,23,.304,9,15,.600,5,23,9,5,2,17,15
W,80,73,29,64,.453,9,20,.450,13,23,.565,7,35,16,9,3,12,24,27,59,.458,4,19,.211,15,25,.600,8,41,14,5,2,17,23
W (1 OT),86,81,29,61,.475,7,18,.389,21,26,.808,11,39,21,11,7,19,22,25,70,.357,10,27,.370,21,27,.778,15,37,19,11,5,15,22
W,84,81,29,52,.558,5,11,.455,21,28,.750,5,30,9,6,4,16,17,28,63,.444,8,26,.308,17,20,.850,8,29,11,10,4,11,21
W,77,67,24,55,.436,10,24,.417,19,26,.731,6,29,16,8,4,8,13,26,63,.413,7,23,.304,8,12,.667,15,38,12,5,2,16,24
W,80,67,30,60,.500,11,21,.524,9,12,.750,5,36,13,5,3,11,19,23,64,.359,8,32,.250,13,20,.650,13,35,14,5,5,13,12
L,61,66,24,62,.387,6,21,.286,7,9,.778,13,30,10,6,4,12,16,23,49,.469,7,13,.538,13,16,.813,6,29,10,6,3,15,16
W,87,55,32,57,.561,8,22,.364,15,23,.652,7,31,16,11,2,11,12,17,51,.333,12,27,.444,9,11,.818,5,23,12,2,0,17,19
W,64,51,24,63,.381,5,18,.278,11,13,.846,9,39,15,5,1,12,15,16,52,.308,4,24,.167,15,19,.789,4,28,6,4,2,12,14
L,74,77,26,62,.419,9,25,.360,13,18,.722,10,33,15,4,4,13,15,25,51,.490,14,32,.438,13,19,.684,4,25,17,8,3,15,18
W,83,57,29,51,.569,9,22,.409,16,24,.667,7,34,16,12,2,19,21,20,65,.308,3,17,.176,14,22,.636,17,34,5,9,1,18,23
W,68,64,21,64,.328,10,34,.294,16,20,.800,10,42,15,6,3,14,11,22,65,.338,11,31,.355,9,12,.750,7,36,9,7,2,10,18
L,73,74,24,58,.414,7,20,.350,18,24,.750,9,32,10,6,0,8,15,29,49,.592,12,22,.545,4,11,.364,2,28,17,5,3,13,22
W,69,67,27,55,.491,3,16,.188,12,17,.706,8,27,9,2,2,8,15,24,58,.414,9,29,.310,10,12,.833,14,33,7,2,2,12,20
W,72,63,23,46,.500,8,21,.381,18,24,.750,3,27,16,5,3,12,16,21,50,.420,10,23,.435,11,14,.786,4,23,13,5,0,14,22
L,56,66,16,48,.333,5,19,.263,19,23,.826,10,35,10,5,1,17,24,18,44,.409,7,16,.438,23,31,.742,1,24,11,5,3,9,22
W,88,81,32,77,.416,7,20,.350,17,22,.773,16,40,18,6,2,9,20,27,58,.466,8,18,.444,19,29,.655,8,32,19,6,11,14,21
W,87,72,28,54,.519,8,17,.471,23,32,.719,6,32,19,3,3,8,17,24,57,.421,9,23,.391,15,17,.882,3,28,13,3,0,11,28
